fluences (n/cm^2),Is_1,n_1,Is_2,n_2
403702000000,1.06991081e-14,1.38668718,1.96305819e-13,1.44233042
533670000000,1.51166471e-14,1.39197862,3.19947206e-13,1.45550579
705480000000,2.13227012e-14,1.39825898,4.54459122e-13,1.47006673
