fluences (n/cm^2),Is_1,n_1,Is_2,n_2
404000000000,1.393769132284331e-15,2.045270427325544,1.96305819e-14,1.44233042
534000000000,1.677453786581318e-15,1.702700634517458,3.19947206e-14,1.45550579
705000000000,3.01578441253152e-15,1.679149404653126,4.54459122e-14,1.47006673
