fluences (n/cm^2),Is,n
403702000000,9.69548962493215e-16,1.202467780625198
432876000000,1.049348920101913e-15,1.202736381568663
464159000000,1.132361952200257e-15,1.203009715455702
497702000000,1.22681763142935e-15,1.203313989047597
533670000000,1.314349676354381e-15,1.203589533365575
572237000000,1.424721663213342e-15,1.20392863597431
613591000000,1.524970623909604e-15,1.204229151640555
657933000000,1.638035632845128e-15,1.204559716768371
705480000000,1.766526082630152e-15,1.204925179692057
756463000000,1.894240677292201e-15,1.20527864508627
811131000000,2.03921843349922e-15,1.205667972437986
869749000000,2.180035823946825e-15,1.206035236562211
932603000000,2.350624577103216e-15,1.206466315348005
1000000000000,2.52075653754833e-15,1.206882506488475
1072270000000,2.703517364870041e-15,1.207314855374215
1149760000000,2.899364696693332e-15,1.207762741242129
1232850000000,3.108536365222805e-15,1.208224596010825
1321940000000,3.330975016230754e-15,1.208698233364797
1417470000000,3.566247533115514e-15,1.209181303857656
1519910000000,3.820312086256477e-15,1.209683642822162
1629750000000,4.094333542903834e-15,1.210204905319184
1747530000000,4.380362690715317e-15,1.210728081041663
1873820000000,4.695913038518872e-15,1.211282499108151
2009230000000,5.021967793704482e-15,1.211832562295129
2154430000000,5.380090688466665e-15,1.212412240930675
2310130000000,5.75940972731147e-15,1.213000921295546
2477080000000,6.158359203766462e-15,1.213594528673085
2656090000000,6.593578426254571e-15,1.214215183844772
2848040000000,7.068813006477619e-15,1.214863790291512
3053860000000,7.562999072799326e-15,1.215509317189132
3274550000000,8.098544609554723e-15,1.216178952648209
3511190000000,8.645959080912903e-15,1.216834521906736
3764940000000,9.268443044600915e-15,1.217548166839302
4037020000000,9.897916273180134e-15,1.218238967102313
4328760000000,1.061439621728937e-14,1.218991613424272
4641590000000,1.132759148478356e-14,1.219708974675807
4977020000000,1.213847035173894e-14,1.220490244600323
5336700000000,1.299740034740875e-14,1.22128230958142
5722370000000,1.39002389175941e-14,1.222079899272221
6135910000000,1.493158558194335e-14,1.222952085587485
6579330000000,1.590998826290512e-14,1.223745366851608
7054800000000,1.713862889783312e-14,1.22469986434768
7564630000000,1.828787565892506e-14,1.225555330158584
8111310000000,1.959511854185282e-14,1.226489502918907
8697490000000,2.091743035618166e-14,1.227396877989665
9326030000000,2.242291679836511e-14,1.228388995931924
10000000000000,2.415190219115886e-14,1.229480656134511
10722700000000,2.588933645597607e-14,1.230532045596078
11497600000000,2.758169464296074e-14,1.231516978045166
12328500000000,2.963795105138455e-14,1.232667235817635
13219400000000,3.181280731323714e-14,1.233834273126359
14174700000000,3.409046532939872e-14,1.235007721132019
15199100000000,3.660061008728027e-14,1.236249337686717
16297500000000,3.925439981830497e-14,1.237509302122197
17475300000000,4.210085295179319e-14,1.238806797737419
18738200000000,4.521669001542673e-14,1.240169673469056
20092300000000,4.853958863472256e-14,1.241563778970903
21544300000000,5.216006123628269e-14,1.243020138319713
23101300000000,5.610053561196273e-14,1.244538628632704
24770800000000,6.024718401343697e-14,1.246069242070171
26560900000000,6.486715906887324e-14,1.247701560615602
28480400000000,6.967783172495788e-14,1.249327714609916
30538600000000,7.501309298346108e-14,1.251052386559583
32745500000000,8.071157935584192e-14,1.2528122047321
35111900000000,8.702157702443031e-14,1.254671925366454
37649400000000,9.3710416781744e-14,1.256551755637416
40370200000000,1.010835443517265e-13,1.258526118409336
43287600000000,1.088022565480962e-13,1.260494565036542
46415900000000,1.172352269980708e-13,1.262542084059096
49770200000000,1.264372630212207e-13,1.264666398822528
53367000000000,1.364595409953924e-13,1.266863479795975
57223700000000,1.473457200848526e-13,1.269127126385918
61359100000000,1.591268129220313e-13,1.271448565069195
65793300000000,1.727928319301976e-13,1.273993270882892
70548000000000,1.86519790993148e-13,1.276407387972108
75646300000000,2.011031159484872e-13,1.278834030615502
81113100000000,2.179426175751221e-13,1.281479339627505
86974900000000,2.358177202832584e-13,1.284124864204011
93260300000000,2.565841442345873e-13,1.287013742191751
100000000000000,2.762223010124091e-13,1.289584935620763
