      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    7.73764313e-14
   2.00000000e-02    1.71745857e-13
   3.00000000e-02    2.88188059e-13
   4.00000000e-02    4.33318918e-13
   5.00000000e-02    6.15761431e-13
   6.00000000e-02    8.46763541e-13
   7.00000000e-02    1.14100940e-12
   8.00000000e-02    1.51768582e-12
   9.00000000e-02    2.00188567e-12
   1.00000000e-01    2.62645706e-12
   1.10000000e-01    3.43444254e-12
   1.20000000e-01    4.48230075e-12
   1.30000000e-01    5.84416679e-12
   1.40000000e-01    7.61749343e-12
   1.50000000e-01    9.93053046e-12
   1.60000000e-01    1.29522542e-11
   1.70000000e-01    1.69055676e-11
   1.80000000e-01    2.20848717e-11
   1.90000000e-01    2.88794881e-11
   2.00000000e-01    3.78049229e-11
   2.10000000e-01    4.95446555e-11
   2.20000000e-01    6.50060698e-11
   2.30000000e-01    8.53954167e-11
   2.40000000e-01    1.12318420e-10
   2.50000000e-01    1.47915476e-10
   2.60000000e-01    1.95043580e-10
   2.70000000e-01    2.57521458e-10
   2.80000000e-01    3.40460261e-10
   2.90000000e-01    4.50710277e-10
   3.00000000e-01    5.97465067e-10
   3.10000000e-01    7.93079500e-10
   3.20000000e-01    1.05417869e-09
   3.30000000e-01    1.40316300e-09
   3.40000000e-01    1.87025272e-09
   3.50000000e-01    2.49626899e-09
   3.60000000e-01    3.33641976e-09
   3.70000000e-01    4.46545922e-09
   3.80000000e-01    5.98472537e-09
   3.90000000e-01    8.03174814e-09
   4.00000000e-01    1.07933783e-08
   4.10000000e-01    1.45237422e-08
   4.20000000e-01    1.95688143e-08
   4.30000000e-01    2.64000745e-08
   4.40000000e-01    3.56606377e-08
   4.50000000e-01    4.82285242e-08
   4.60000000e-01    6.53034916e-08
   4.70000000e-01    8.85262781e-08
   4.80000000e-01    1.20142445e-07
   4.90000000e-01    1.63227627e-07
   5.00000000e-01    2.21997348e-07
   5.10000000e-01    3.02233389e-07
   5.20000000e-01    4.11870770e-07
   5.30000000e-01    5.61806246e-07
   5.40000000e-01    7.67012315e-07
   5.50000000e-01    1.04807279e-06
   5.60000000e-01    1.43330021e-06
   5.70000000e-01    1.96165644e-06
   5.80000000e-01    2.68678258e-06
   5.90000000e-01    3.68256087e-06
   6.00000000e-01    5.05079329e-06
   6.10000000e-01    6.93180500e-06
   6.20000000e-01    9.51909029e-06
   6.30000000e-01    1.30795465e-05
   6.40000000e-01    1.79814344e-05
   6.50000000e-01    2.47330212e-05
   6.60000000e-01    3.40360009e-05
   6.70000000e-01    4.68593500e-05
   6.80000000e-01    6.45414581e-05
   6.90000000e-01    8.89313738e-05
   7.00000000e-01    1.22584177e-04
   7.10000000e-01    1.69031252e-04
   7.20000000e-01    2.33154220e-04
   7.30000000e-01    3.21702356e-04
   7.40000000e-01    4.44008595e-04
   7.50000000e-01    6.12980483e-04
   7.60000000e-01    8.46471733e-04
   7.70000000e-01    1.16918077e-03
   7.80000000e-01    1.61527888e-03
   7.90000000e-01    2.23204878e-03
   8.00000000e-01    3.08492211e-03
   8.10000000e-01    4.26445447e-03
   8.20000000e-01    5.89598363e-03
   8.30000000e-01    8.15300369e-03
   8.40000000e-01    1.12756861e-02
   8.50000000e-01    1.55965291e-02
   8.60000000e-01    2.15758814e-02
   8.70000000e-01    2.98511419e-02
   8.80000000e-01    4.13049053e-02
   8.90000000e-01    5.71593505e-02
   9.00000000e-01    7.91069834e-02
   9.10000000e-01    1.09491741e-01
   9.20000000e-01    1.51559865e-01
   9.30000000e-01    2.09807423e-01
   9.40000000e-01    2.90461747e-01
   9.50000000e-01    4.02148365e-01
   9.60000000e-01    5.56814969e-01
   9.70000000e-01    7.71011452e-01
   9.80000000e-01    1.06766331e+00
   9.90000000e-01    1.47852860e+00
   1.00000000e+00    2.04760188e+00
End of Xyce(TM) Simulation
