      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -9.92800000e-01    1.46370198e-01    1.64494286e-06    1.30330332e-07
  -9.92700000e-01    1.46370198e-01    1.64494047e-06    1.30324070e-07
  -9.92600000e-01    1.46370198e-01    1.64493808e-06    1.30317808e-07
  -9.92500000e-01    1.46370198e-01    1.64493568e-06    1.30311546e-07
  -9.92400000e-01    1.46370198e-01    1.64493329e-06    1.30305284e-07
  -9.92300000e-01    1.46370198e-01    1.64493090e-06    1.30299023e-07
  -9.92200000e-01    1.46370198e-01    1.64492850e-06    1.30292761e-07
  -9.92100000e-01    1.46370198e-01    1.64492611e-06    1.30286499e-07
  -9.92000000e-01    1.46370198e-01    1.64492371e-06    1.30280237e-07
  -9.91900000e-01    1.46370198e-01    1.64492132e-06    1.30273975e-07
  -9.91800000e-01    1.46370198e-01    1.64491893e-06    1.30267713e-07
  -9.91700000e-01    1.46370198e-01    1.64491653e-06    1.30261451e-07
  -9.91600000e-01    1.46370198e-01    1.64491414e-06    1.30255190e-07
  -9.91500000e-01    1.46370198e-01    1.64491175e-06    1.30248928e-07
  -9.91400000e-01    1.46370198e-01    1.64490935e-06    1.30242666e-07
  -9.91300000e-01    1.46370198e-01    1.64490696e-06    1.30236404e-07
  -9.91200000e-01    1.46370198e-01    1.64490457e-06    1.30230143e-07
  -9.91100000e-01    1.46370198e-01    1.64490217e-06    1.30223881e-07
  -9.91000000e-01    1.46370198e-01    1.64489978e-06    1.30217620e-07
  -9.90900000e-01    1.46370198e-01    1.64489739e-06    1.30211358e-07
  -9.90800000e-01    1.46370198e-01    1.64489499e-06    1.30205096e-07
  -9.90700000e-01    1.46370198e-01    1.64489260e-06    1.30198835e-07
  -9.90600000e-01    1.46370198e-01    1.64489020e-06    1.30192573e-07
  -9.90500000e-01    1.46370198e-01    1.64488781e-06    1.30186312e-07
  -9.90400000e-01    1.46370198e-01    1.64488542e-06    1.30180050e-07
  -9.90300000e-01    1.46370198e-01    1.64488302e-06    1.30173789e-07
  -9.90200000e-01    1.46370198e-01    1.64488063e-06    1.30167527e-07
  -9.90100000e-01    1.46370198e-01    1.64487824e-06    1.30161266e-07
  -9.90000000e-01    1.46370198e-01    1.64487584e-06    1.30155004e-07
  -9.89900000e-01    1.46370198e-01    1.64487345e-06    1.30148743e-07
  -9.89800000e-01    1.46370198e-01    1.64487106e-06    1.30142482e-07
  -9.89700000e-01    1.46370198e-01    1.64486866e-06    1.30136220e-07
  -9.89600000e-01    1.46370198e-01    1.64486627e-06    1.30129959e-07
  -9.89500000e-01    1.46370198e-01    1.64486388e-06    1.30123698e-07
