      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -9.22000000e-02   -6.16414477e-01    1.10411260e-06   -6.41116179e-07
  -9.21000000e-02   -6.16414477e-01    1.10390403e-06   -6.40426801e-07
  -9.20000000e-02   -6.16414476e-01    1.10369560e-06   -6.39737327e-07
  -9.19000000e-02   -6.16414476e-01    1.10348728e-06   -6.39047760e-07
  -9.18000000e-02   -6.16414476e-01    1.10327909e-06   -6.38358097e-07
  -9.17000000e-02   -6.16414476e-01    1.10307103e-06   -6.37668342e-07
  -9.16000000e-02   -6.16414476e-01    1.10286309e-06   -6.36978493e-07
  -9.15000000e-02   -6.16414476e-01    1.10265528e-06   -6.36288551e-07
  -9.14000000e-02   -6.16414476e-01    1.10244759e-06   -6.35598516e-07
  -9.13000000e-02   -6.16414476e-01    1.10224003e-06   -6.34908390e-07
  -9.12000000e-02   -6.16414476e-01    1.10203260e-06   -6.34218173e-07
  -9.11000000e-02   -6.16414475e-01    1.10182529e-06   -6.33527864e-07
  -9.10000000e-02   -6.16414475e-01    1.10161812e-06   -6.32837465e-07
  -9.09000000e-02   -6.16414475e-01    1.10141107e-06   -6.32146976e-07
  -9.08000000e-02   -6.16414475e-01    1.10120415e-06   -6.31456398e-07
  -9.07000000e-02   -6.16414475e-01    1.10099736e-06   -6.30765730e-07
  -9.06000000e-02   -6.16414475e-01    1.10079069e-06   -6.30074974e-07
  -9.05000000e-02   -6.16414475e-01    1.10058416e-06   -6.29384129e-07
  -9.04000000e-02   -6.16414475e-01    1.10037776e-06   -6.28693197e-07
  -9.03000000e-02   -6.16414475e-01    1.10017148e-06   -6.28002178e-07
  -9.02000000e-02   -6.16414475e-01    1.09996534e-06   -6.27311072e-07
  -9.01000000e-02   -6.16414474e-01    1.09975933e-06   -6.26619879e-07
  -9.00000000e-02   -6.16414474e-01    1.09955345e-06   -6.25928600e-07
  -8.99000000e-02   -6.16414474e-01    1.09934770e-06   -6.25237236e-07
  -8.98000000e-02   -6.16414474e-01    1.09914208e-06   -6.24545787e-07
  -8.97000000e-02   -6.16414474e-01    1.09893660e-06   -6.23854254e-07
  -8.96000000e-02   -6.16414474e-01    1.09873125e-06   -6.23162636e-07
  -8.95000000e-02   -6.16414474e-01    1.09852603e-06   -6.22470935e-07
