      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.22417652e-14
   2.00000000e-02    2.50116361e-14
   3.00000000e-02    3.84340217e-14
   4.00000000e-02    5.26626386e-14
   5.00000000e-02    6.78874155e-14
   6.00000000e-02    8.43430235e-14
   7.00000000e-02    1.02319417e-13
   8.00000000e-02    1.22174856e-13
   9.00000000e-02    1.44351998e-13
   1.00000000e-01    1.69397780e-13
   1.10000000e-01    1.97987985e-13
   1.20000000e-01    2.30957593e-13
   1.30000000e-01    2.69338286e-13
   1.40000000e-01    3.14404784e-13
   1.50000000e-01    3.67732102e-13
   1.60000000e-01    4.31266288e-13
   1.70000000e-01    5.07411836e-13
   1.80000000e-01    5.99139675e-13
   1.90000000e-01    7.10120619e-13
   2.00000000e-01    8.44890233e-13
   2.10000000e-01    1.00905255e-12
   2.20000000e-01    1.20953179e-12
   2.30000000e-01    1.45488333e-12
   2.40000000e-01    1.75567801e-12
   2.50000000e-01    2.12497688e-12
   2.60000000e-01    2.57891789e-12
   2.70000000e-01    3.13744067e-12
   2.80000000e-01    3.82518216e-12
   2.90000000e-01    4.67258317e-12
   3.00000000e-01    5.71725562e-12
   3.10000000e-01    7.00567190e-12
   3.20000000e-01    8.59525216e-12
   3.30000000e-01    1.05569433e-11
   3.40000000e-01    1.29784058e-11
   3.50000000e-01    1.59679506e-11
   3.60000000e-01    1.96594041e-11
   3.70000000e-01    2.42181190e-11
   3.80000000e-01    2.98484013e-11
   3.90000000e-01    3.68026863e-11
   4.00000000e-01    4.53928770e-11
   4.10000000e-01    5.60043533e-11
   4.20000000e-01    6.91132812e-11
   4.30000000e-01    8.53079999e-11
   4.40000000e-01    1.05315447e-10
   4.50000000e-01    1.30033810e-10
   4.60000000e-01    1.60572866e-10
   4.70000000e-01    1.98303830e-10
   4.80000000e-01    2.44920941e-10
   4.90000000e-01    3.02517561e-10
   5.00000000e-01    3.73680197e-10
   5.10000000e-01    4.61604675e-10
   5.20000000e-01    5.70239679e-10
   5.30000000e-01    7.04464109e-10
   5.40000000e-01    8.70306216e-10
   5.50000000e-01    1.07521436e-09
   5.60000000e-01    1.32839155e-09
   5.70000000e-01    1.64120882e-09
   5.80000000e-01    2.02771592e-09
   5.90000000e-01    2.50527240e-09
   6.00000000e-01    3.09532728e-09
   6.10000000e-01    3.82438249e-09
   6.20000000e-01    4.72518312e-09
   6.30000000e-01    5.83818826e-09
   6.40000000e-01    7.21338815e-09
   6.50000000e-01    8.91254955e-09
   6.60000000e-01    1.10119900e-08
   6.70000000e-01    1.36060054e-08
   6.80000000e-01    1.68111059e-08
   6.90000000e-01    2.07712483e-08
   7.00000000e-01    2.56643021e-08
   7.10000000e-01    3.17100388e-08
   7.20000000e-01    3.91800026e-08
   7.30000000e-01    4.84097070e-08
   7.40000000e-01    5.98137044e-08
   7.50000000e-01    7.39042056e-08
   7.60000000e-01    9.13140860e-08
   7.70000000e-01    1.12825311e-07
   7.80000000e-01    1.39404059e-07
   7.90000000e-01    1.72244115e-07
   8.00000000e-01    2.12820492e-07
   8.10000000e-01    2.62955680e-07
   8.20000000e-01    3.24901505e-07
   8.30000000e-01    4.01440267e-07
   8.40000000e-01    4.96009710e-07
   8.50000000e-01    6.12857425e-07
   8.60000000e-01    7.57231636e-07
   8.70000000e-01    9.35616920e-07
   8.80000000e-01    1.15602546e-06
   8.90000000e-01    1.42835693e-06
   9.00000000e-01    1.76484311e-06
   9.10000000e-01    2.18059729e-06
   9.20000000e-01    2.69429312e-06
   9.30000000e-01    3.32900326e-06
   9.40000000e-01    4.11323577e-06
   9.50000000e-01    5.08221451e-06
   9.60000000e-01    6.27946122e-06
   9.70000000e-01    7.75875032e-06
   9.80000000e-01    9.58652418e-06
   9.90000000e-01    1.18448774e-05
   1.00000000e+00    1.46352440e-05
End of Xyce(TM) Simulation
