      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    2.49964320e-13
   2.00000000e-02    5.65796140e-13
   3.00000000e-02    9.66547787e-13
   4.00000000e-02    1.47684907e-12
   5.00000000e-02    2.12856361e-12
   6.00000000e-02    2.96294528e-12
   7.00000000e-02    4.03344861e-12
   8.00000000e-02    5.40939526e-12
   9.00000000e-02    7.18076242e-12
   1.00000000e-01    9.46444346e-12
   1.10000000e-01    1.24124424e-11
   1.20000000e-01    1.62226121e-11
   1.30000000e-01    2.11527418e-11
   1.40000000e-01    2.75390617e-11
   1.50000000e-01    3.58205765e-11
   1.60000000e-01    4.65711058e-11
   1.70000000e-01    6.05415215e-11
   1.80000000e-01    7.87154975e-11
   1.90000000e-01    1.02383186e-10
   2.00000000e-01    1.33238702e-10
   2.10000000e-01    1.73509280e-10
   2.20000000e-01    2.26126581e-10
   2.30000000e-01    2.94954221e-10
   2.40000000e-01    3.85090300e-10
   2.50000000e-01    5.03270173e-10
   2.60000000e-01    6.58403283e-10
   2.70000000e-01    8.62289549e-10
   2.80000000e-01    1.13057644e-09
   2.90000000e-01    1.48403901e-09
   3.00000000e-01    1.95029391e-09
   3.10000000e-01    2.56609664e-09
   3.20000000e-01    3.38042420e-09
   3.30000000e-01    4.45861540e-09
   3.40000000e-01    5.88793748e-09
   3.50000000e-01    7.78507738e-09
   3.60000000e-01    1.03062324e-08
   3.70000000e-01    1.36607146e-08
   3.80000000e-01    1.81293068e-08
   3.90000000e-01    2.40890528e-08
   4.00000000e-01    3.20467599e-08
   4.10000000e-01    4.26843128e-08
   4.20000000e-01    5.69200049e-08
   4.30000000e-01    7.59916077e-08
   4.40000000e-01    1.01568955e-07
   4.50000000e-01    1.35906622e-07
   4.60000000e-01    1.82051113e-07
   4.70000000e-01    2.44122151e-07
   4.80000000e-01    3.27694809e-07
   4.90000000e-01    4.40318868e-07
   5.00000000e-01    5.92225037e-07
   5.10000000e-01    7.97285700e-07
   5.20000000e-01    1.07432248e-06
   5.30000000e-01    1.44888652e-06
   5.40000000e-01    1.95568335e-06
   5.50000000e-01    2.64187689e-06
   5.60000000e-01    3.57159277e-06
   5.70000000e-01    4.83205848e-06
   5.80000000e-01    6.54197747e-06
   5.90000000e-01    8.86295359e-06
   6.00000000e-01    1.20150807e-05
   6.10000000e-01    1.62982219e-05
   6.20000000e-01    2.21210606e-05
   6.30000000e-01    3.00407721e-05
   6.40000000e-01    4.08172085e-05
   6.50000000e-01    5.54869205e-05
   6.60000000e-01    7.54642979e-05
   6.70000000e-01    1.02679786e-04
   6.80000000e-01    1.39768798e-04
   6.90000000e-01    1.90329964e-04
   7.00000000e-01    2.59278203e-04
   7.10000000e-01    3.53327499e-04
   7.20000000e-01    4.81651125e-04
   7.30000000e-01    6.56784622e-04
   7.40000000e-01    8.95860923e-04
   7.50000000e-01    1.22229998e-03
   7.60000000e-01    1.66812033e-03
   7.70000000e-01    2.27710186e-03
   7.80000000e-01    3.10911346e-03
   7.90000000e-01    4.24603519e-03
   8.00000000e-01    5.79986293e-03
   8.10000000e-01    7.92380058e-03
   8.20000000e-01    1.08274420e-02
   8.30000000e-01    1.47975520e-02
   8.40000000e-01    2.02265123e-02
   8.50000000e-01    2.76512621e-02
   8.60000000e-01    3.78066078e-02
   8.70000000e-01    5.16982060e-02
   8.80000000e-01    7.07024860e-02
   8.90000000e-01    9.67034589e-02
   9.00000000e-01    1.32280038e-01
   9.10000000e-01    1.80962530e-01
   9.20000000e-01    2.47583842e-01
   9.30000000e-01    3.38760407e-01
   9.40000000e-01    4.63550753e-01
   9.50000000e-01    6.34357340e-01
   9.60000000e-01    8.68161584e-01
   9.70000000e-01    1.18821518e+00
   9.80000000e-01    1.62635635e+00
   9.90000000e-01    2.22618203e+00
   1.00000000e+00    3.04739229e+00
End of Xyce(TM) Simulation
