      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.00578964e-14
   2.00000000e-02    2.01358192e-14
   3.00000000e-02    3.02406954e-14
   4.00000000e-02    4.03818484e-14
   5.00000000e-02    5.05718262e-14
   6.00000000e-02    6.08275174e-14
   7.00000000e-02    7.11716522e-14
   8.00000000e-02    8.16348232e-14
   9.00000000e-02    9.22582052e-14
   1.00000000e-01    1.03097215e-13
   1.10000000e-01    1.14226439e-13
   1.20000000e-01    1.25746261e-13
   1.30000000e-01    1.37791790e-13
   1.40000000e-01    1.50544867e-13
   1.50000000e-01    1.64250235e-13
   1.60000000e-01    1.79237289e-13
   1.70000000e-01    1.95949366e-13
   1.80000000e-01    2.14983152e-13
   1.90000000e-01    2.37141726e-13
   2.00000000e-01    2.63505952e-13
   2.10000000e-01    2.95530566e-13
   2.20000000e-01    3.35173497e-13
   2.30000000e-01    3.85069922e-13
   2.40000000e-01    4.48766527e-13
   2.50000000e-01    5.31036794e-13
   2.60000000e-01    6.38305357e-13
   2.70000000e-01    7.79219129e-13
   2.80000000e-01    9.65415994e-13
   2.90000000e-01    1.21255938e-12
   3.00000000e-01    1.54173069e-12
   3.10000000e-01    1.98130341e-12
   3.20000000e-01    2.56946539e-12
   3.30000000e-01    3.35761368e-12
   3.40000000e-01    4.41492357e-12
   3.50000000e-01    5.83449810e-12
   3.60000000e-01    7.74164466e-12
   3.70000000e-01    1.03050145e-11
   3.80000000e-01    1.37515953e-11
   3.90000000e-01    1.83868898e-11
   4.00000000e-01    2.46220745e-11
   4.10000000e-01    3.30105513e-11
   4.20000000e-01    4.42971444e-11
   4.30000000e-01    5.94843128e-11
   4.40000000e-01    7.99212657e-11
   4.50000000e-01    1.07423905e-10
   4.60000000e-01    1.44436251e-10
   4.70000000e-01    1.94247714e-10
   4.80000000e-01    2.61285511e-10
   4.90000000e-01    3.51508231e-10
   5.00000000e-01    4.72935544e-10
   5.10000000e-01    6.36361123e-10
   5.20000000e-01    8.56312174e-10
   5.30000000e-01    1.15234086e-09
   5.40000000e-01    1.55076246e-09
   5.50000000e-01    2.08699469e-09
   5.60000000e-01    2.80870625e-09
   5.70000000e-01    3.78005449e-09
   5.80000000e-01    5.08738877e-09
   5.90000000e-01    6.84692669e-09
   6.00000000e-01    9.21508556e-09
   6.10000000e-01    1.24023875e-08
   6.20000000e-01    1.66921741e-08
   6.30000000e-01    2.24657950e-08
   6.40000000e-01    3.02365088e-08
   6.50000000e-01    4.06951102e-08
   6.60000000e-01    5.47713397e-08
   6.70000000e-01    7.37165355e-08
   6.80000000e-01    9.92148738e-08
   6.90000000e-01    1.33533087e-07
   7.00000000e-01    1.79721972e-07
   7.10000000e-01    2.41887596e-07
   7.20000000e-01    3.25556313e-07
   7.30000000e-01    4.38166049e-07
   7.40000000e-01    5.89727504e-07
   7.50000000e-01    7.93714084e-07
   7.60000000e-01    1.06825965e-06
   7.70000000e-01    1.43777056e-06
   7.80000000e-01    1.93509534e-06
   7.90000000e-01    2.60444483e-06
   8.00000000e-01    3.50532239e-06
   8.10000000e-01    4.71781363e-06
   8.20000000e-01    6.34970576e-06
   8.30000000e-01    8.54606959e-06
   8.40000000e-01    1.15021560e-05
   8.50000000e-01    1.54807531e-05
   8.60000000e-01    2.08355474e-05
   8.70000000e-01    2.80425659e-05
   8.80000000e-01    3.77424931e-05
   8.90000000e-01    5.07976265e-05
   9.00000000e-01    6.83685323e-05
   9.10000000e-01    9.20172169e-05
   9.20000000e-01    1.23845985e-04
   9.30000000e-01    1.66684328e-04
   9.40000000e-01    2.24340460e-04
   9.50000000e-01    3.01939856e-04
   9.60000000e-01    4.06380895e-04
   9.70000000e-01    5.46948103e-04
   9.80000000e-01    7.36137527e-04
   9.90000000e-01    9.90767601e-04
   1.00000000e+00    1.33347425e-03
End of Xyce(TM) Simulation
