      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    4.89115868e-14
   2.00000000e-02    1.04716146e-13
   3.00000000e-02    1.69066375e-13
   4.00000000e-02    2.44014332e-13
   5.00000000e-02    3.32108963e-13
   6.00000000e-02    4.36517784e-13
   7.00000000e-02    5.61178811e-13
   8.00000000e-02    7.10990402e-13
   9.00000000e-02    8.92048660e-13
   1.00000000e-01    1.11194456e-12
   1.10000000e-01    1.38013621e-12
   1.20000000e-01    1.70841556e-12
   1.30000000e-01    2.11149431e-12
   1.40000000e-01    2.60774003e-12
   1.50000000e-01    3.22010210e-12
   1.60000000e-01    3.97727786e-12
   1.70000000e-01    4.91518274e-12
   1.80000000e-01    6.07880632e-12
   1.90000000e-01    7.52455821e-12
   2.00000000e-01    9.32323730e-12
   2.10000000e-01    1.15637950e-11
   2.20000000e-01    1.43581116e-11
   2.30000000e-01    1.78470671e-11
   2.40000000e-01    2.22082689e-11
   2.50000000e-01    2.76659034e-11
   2.60000000e-01    3.45033145e-11
   2.70000000e-01    4.30790884e-11
   2.80000000e-01    5.38476550e-11
   2.90000000e-01    6.73857154e-11
   3.00000000e-01    8.44261970e-11
   3.10000000e-01    1.05901950e-10
   3.20000000e-01    1.33002068e-10
   3.30000000e-01    1.67244599e-10
   3.40000000e-01    2.10570551e-10
   3.50000000e-01    2.65465636e-10
   3.60000000e-01    3.35118157e-10
   3.70000000e-01    4.23624093e-10
   3.80000000e-01    5.36253856e-10
   3.90000000e-01    6.79799796e-10
   4.00000000e-01    8.63029490e-10
   4.10000000e-01    1.09727785e-09
   4.20000000e-01    1.39722154e-09
   4.30000000e-01    1.78189317e-09
   4.40000000e-01    2.27601100e-09
   4.50000000e-01    2.91172460e-09
   4.60000000e-01    3.73090878e-09
   4.70000000e-01    4.78818164e-09
   4.80000000e-01    6.15487901e-09
   4.90000000e-01    7.92429382e-09
   5.00000000e-01    1.02185890e-08
   5.10000000e-01    1.31979269e-08
   5.20000000e-01    1.70725358e-08
   5.30000000e-01    2.21186705e-08
   5.40000000e-01    2.86997409e-08
   5.50000000e-01    3.72942998e-08
   5.60000000e-01    4.85331420e-08
   5.70000000e-01    6.32485123e-08
   5.80000000e-01    8.25394114e-08
   5.90000000e-01    1.07858314e-07
   6.00000000e-01    1.41126379e-07
   6.10000000e-01    1.84886587e-07
   6.20000000e-01    2.42507382e-07
   6.30000000e-01    3.18453585e-07
   6.40000000e-01    4.18646948e-07
   6.50000000e-01    5.50946184e-07
   6.60000000e-01    7.25786276e-07
   6.70000000e-01    9.57030187e-07
   6.80000000e-01    1.26310389e-06
   6.90000000e-01    1.66850933e-06
   7.00000000e-01    2.20584179e-06
   7.10000000e-01    2.91848026e-06
   7.20000000e-01    3.86417637e-06
   7.30000000e-01    5.11984275e-06
   7.40000000e-01    6.78794307e-06
   7.50000000e-01    9.00502089e-06
   7.60000000e-01    1.19530851e-05
   7.70000000e-01    1.58748110e-05
   7.80000000e-01    2.10938390e-05
   7.90000000e-01    2.80418828e-05
   8.00000000e-01    3.72949375e-05
   8.10000000e-01    4.96216464e-05
   8.20000000e-01    6.60479159e-05
   8.30000000e-01    8.79432476e-05
   8.40000000e-01    1.17136093e-04
   8.50000000e-01    1.56068002e-04
   8.60000000e-01    2.07999633e-04
   8.70000000e-01    2.77286075e-04
   8.80000000e-01    3.69744854e-04
   8.90000000e-01    4.93147817e-04
   9.00000000e-01    6.57878673e-04
   9.10000000e-01    8.77811986e-04
   9.20000000e-01    1.17148828e-03
   9.30000000e-01    1.56368509e-03
   9.40000000e-01    2.08751740e-03
   9.50000000e-01    2.78724607e-03
   9.60000000e-01    3.72203284e-03
   9.70000000e-01    4.97096135e-03
   9.80000000e-01    6.63975103e-03
   9.90000000e-01    8.86973488e-03
   1.00000000e+00    1.18498650e-02
End of Xyce(TM) Simulation
