      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    3.19473743e-14
   2.00000000e-02    6.67431968e-14
   3.00000000e-02    1.05070222e-13
   4.00000000e-02    1.47776093e-13
   5.00000000e-02    1.95913579e-13
   6.00000000e-02    2.50790774e-13
   7.00000000e-02    3.14033768e-13
   8.00000000e-02    3.87664947e-13
   9.00000000e-02    4.74200908e-13
   1.00000000e-01    5.76775008e-13
   1.10000000e-01    6.99290895e-13
   1.20000000e-01    8.46615034e-13
   1.30000000e-01    1.02481840e-12
   1.40000000e-01    1.24148024e-12
   1.50000000e-01    1.50607023e-12
   1.60000000e-01    1.83043001e-12
   1.70000000e-01    2.22938044e-12
   1.80000000e-01    2.72148875e-12
   1.90000000e-01    3.33003879e-12
   2.00000000e-01    4.08426007e-12
   2.10000000e-01    5.02088685e-12
   2.20000000e-01    6.18613906e-12
   2.30000000e-01    7.63824309e-12
   2.40000000e-01    9.45064494e-12
   2.50000000e-01    1.17161126e-11
   2.60000000e-01    1.45519825e-11
   2.70000000e-01    1.81068813e-11
   2.80000000e-01    2.25693520e-11
   2.90000000e-01    2.81789439e-11
   3.00000000e-01    3.52404948e-11
   3.10000000e-01    4.41425584e-11
   3.20000000e-01    5.53812189e-11
   3.30000000e-01    6.95909251e-11
   3.40000000e-01    8.75844792e-11
   3.50000000e-01    1.10404990e-10
   3.60000000e-01    1.39393482e-10
   3.70000000e-01    1.76277022e-10
   3.80000000e-01    2.23283781e-10
   3.90000000e-01    2.83293498e-10
   4.00000000e-01    3.60034523e-10
   4.10000000e-01    4.58342279e-10
   4.20000000e-01    5.84498718e-10
   4.30000000e-01    7.46678819e-10
   4.40000000e-01    9.55538607e-10
   4.50000000e-01    1.22499056e-09
   4.60000000e-01    1.57322734e-09
   4.70000000e-01    2.02407493e-09
   4.80000000e-01    2.60878308e-09
   4.90000000e-01    3.36839693e-09
   5.00000000e-01    4.35690146e-09
   5.10000000e-01    5.64539444e-09
   5.20000000e-01    7.32762921e-09
   5.30000000e-01    9.52738289e-09
   5.40000000e-01    1.24082588e-08
   5.50000000e-01    1.61867367e-08
   5.60000000e-01    2.11495586e-08
   5.70000000e-01    2.76769055e-08
   5.80000000e-01    3.62733119e-08
   5.90000000e-01    4.76089237e-08
   6.00000000e-01    6.25745903e-08
   6.10000000e-01    8.23554628e-08
   6.20000000e-01    1.08529359e-07
   6.30000000e-01    1.43198288e-07
   6.40000000e-01    1.89164370e-07
   6.50000000e-01    2.50165235e-07
   6.60000000e-01    3.31189106e-07
   6.70000000e-01    4.38896666e-07
   6.80000000e-01    5.82186074e-07
   6.90000000e-01    7.72949885e-07
   7.00000000e-01    1.02708931e-06
   7.10000000e-01    1.36587363e-06
   7.20000000e-01    1.81776254e-06
   7.30000000e-01    2.42084962e-06
   7.40000000e-01    3.22613920e-06
   7.50000000e-01    4.30194143e-06
   7.60000000e-01    5.73976838e-06
   7.70000000e-01    7.66224451e-06
   7.80000000e-01    1.02337213e-05
   7.90000000e-01    1.36745222e-05
   8.00000000e-01    1.82800614e-05
   8.10000000e-01    2.44465066e-05
   8.20000000e-01    3.27052291e-05
   8.30000000e-01    4.37690541e-05
   8.40000000e-01    5.85943568e-05
   8.50000000e-01    7.84644423e-05
   8.60000000e-01    1.05101508e-04
   8.70000000e-01    1.40816998e-04
   8.80000000e-01    1.88713530e-04
   8.90000000e-01    2.52956082e-04
   9.00000000e-01    3.39136242e-04
   9.10000000e-01    4.54761444e-04
   9.20000000e-01    6.09912130e-04
   9.30000000e-01    8.18124498e-04
   9.40000000e-01    1.09757632e-03
   9.50000000e-01    1.47267993e-03
   9.60000000e-01    1.97622224e-03
   9.70000000e-01    2.65223976e-03
   9.80000000e-01    3.55988105e-03
   9.90000000e-01    4.77859604e-03
   1.00000000e+00    6.41510795e-03
End of Xyce(TM) Simulation
