      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.11303354e-13
   2.00000000e-02    2.46363657e-13
   3.00000000e-02    4.10752220e-13
   4.00000000e-02    6.11346899e-13
   5.00000000e-02    8.56638499e-13
   6.00000000e-02    1.15710903e-12
   7.00000000e-02    1.52569865e-12
   8.00000000e-02    1.97838219e-12
   9.00000000e-02    2.53488074e-12
   1.00000000e-01    3.21954028e-12
   1.10000000e-01    4.06241622e-12
   1.20000000e-01    5.10061235e-12
   1.30000000e-01    6.37993379e-12
   1.40000000e-01    7.95692754e-12
   1.50000000e-01    9.90140161e-12
   1.60000000e-01    1.22995349e-11
   1.70000000e-01    1.52577163e-11
   1.80000000e-01    1.89072845e-11
   1.90000000e-01    2.34103786e-11
   2.00000000e-01    2.89671613e-11
   2.10000000e-01    3.58247365e-11
   2.20000000e-01    4.42881566e-11
   2.30000000e-01    5.47340133e-11
   2.40000000e-01    6.76272134e-11
   2.50000000e-01    8.35416908e-11
   2.60000000e-01    1.03185974e-10
   2.70000000e-01    1.27434751e-10
   2.80000000e-01    1.57367835e-10
   2.90000000e-01    1.94318269e-10
   3.00000000e-01    2.39931714e-10
   3.10000000e-01    2.96239757e-10
   3.20000000e-01    3.65750419e-10
   3.30000000e-01    4.51559887e-10
   3.40000000e-01    5.57490441e-10
   3.50000000e-01    6.88260736e-10
   3.60000000e-01    8.49696014e-10
   3.70000000e-01    1.04898761e-09
   3.80000000e-01    1.29501332e-09
   3.90000000e-01    1.59873290e-09
   4.00000000e-01    1.97367630e-09
   4.10000000e-01    2.43654645e-09
   4.20000000e-01    3.00796329e-09
   4.30000000e-01    3.71338243e-09
   4.40000000e-01    4.58422915e-09
   4.50000000e-01    5.65929836e-09
   4.60000000e-01    6.98648287e-09
   4.70000000e-01    8.62490698e-09
   4.80000000e-01    1.06475604e-08
   4.90000000e-01    1.31445499e-08
   5.00000000e-01    1.62271135e-08
   5.10000000e-01    2.00325757e-08
   5.20000000e-01    2.47304658e-08
   5.30000000e-01    3.05300696e-08
   5.40000000e-01    3.76897532e-08
   5.50000000e-01    4.65284729e-08
   5.60000000e-01    5.74399846e-08
   5.70000000e-01    7.09103846e-08
   5.80000000e-01    8.75397655e-08
   5.90000000e-01    1.08068949e-07
   6.00000000e-01    1.33412490e-07
   6.10000000e-01    1.64699417e-07
   6.20000000e-01    2.03323530e-07
   6.30000000e-01    2.51005497e-07
   6.40000000e-01    3.09869499e-07
   6.50000000e-01    3.82537870e-07
   6.60000000e-01    4.72247912e-07
   6.70000000e-01    5.82996118e-07
   6.80000000e-01    7.19716210e-07
   6.90000000e-01    8.88498931e-07
   7.00000000e-01    1.09686338e-06
   7.10000000e-01    1.35409200e-06
   7.20000000e-01    1.67164404e-06
   7.30000000e-01    2.06366616e-06
   7.40000000e-01    2.54762253e-06
   7.50000000e-01    3.14507294e-06
   7.60000000e-01    3.88263320e-06
   7.70000000e-01    4.79316088e-06
   7.80000000e-01    5.91721910e-06
   7.90000000e-01    7.30488352e-06
   8.00000000e-01    9.01797320e-06
   8.10000000e-01    1.11328046e-05
   8.20000000e-01    1.37435913e-05
   8.30000000e-01    1.69666414e-05
   8.40000000e-01    2.09455383e-05
   8.50000000e-01    2.58575382e-05
   8.60000000e-01    3.19214656e-05
   8.70000000e-01    3.94074625e-05
   8.80000000e-01    4.86490225e-05
   8.90000000e-01    6.00578481e-05
   9.00000000e-01    7.41421910e-05
   9.10000000e-01    9.15294946e-05
   9.20000000e-01    1.12994346e-04
   9.30000000e-01    1.39492983e-04
   9.40000000e-01    1.72205893e-04
   9.50000000e-01    2.12590405e-04
   9.60000000e-01    2.62445607e-04
   9.70000000e-01    3.23992500e-04
   9.80000000e-01    3.99972936e-04
   9.90000000e-01    4.93771767e-04
   1.00000000e+00    6.09567640e-04
End of Xyce(TM) Simulation
