      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.27765484e-14
   2.00000000e-02    2.64528163e-14
   3.00000000e-02    4.13203512e-14
   4.00000000e-02    5.77651741e-14
   5.00000000e-02    7.62983933e-14
   6.00000000e-02    9.75967379e-14
   7.00000000e-02    1.22556226e-13
   8.00000000e-02    1.52363223e-13
   9.00000000e-02    1.88588529e-13
   1.00000000e-01    2.33311947e-13
   1.10000000e-01    2.89287227e-13
   1.20000000e-01    3.60160450e-13
   1.30000000e-01    4.50759182e-13
   1.40000000e-01    5.67475326e-13
   1.50000000e-01    7.18772032e-13
   1.60000000e-01    9.15854871e-13
   1.70000000e-01    1.17356049e-12
   1.80000000e-01    1.51153326e-12
   1.90000000e-01    1.95578312e-12
   2.00000000e-01    2.54074839e-12
   2.10000000e-01    3.31202681e-12
   2.20000000e-01    4.32999176e-12
   2.30000000e-01    5.67458017e-12
   2.40000000e-01    7.45163189e-12
   2.50000000e-01    9.80128341e-12
   2.60000000e-01    1.29090814e-11
   2.70000000e-01    1.70206974e-11
   2.80000000e-01    2.24614112e-11
   2.90000000e-01    2.96619069e-11
   3.00000000e-01    3.91924285e-11
   3.10000000e-01    5.18080034e-11
   3.20000000e-01    6.85083198e-11
   3.30000000e-01    9.06170076e-11
   3.40000000e-01    1.19886608e-10
   3.50000000e-01    1.58637563e-10
   3.60000000e-01    2.09942231e-10
   3.70000000e-01    2.77868550e-10
   3.80000000e-01    3.67802640e-10
   3.90000000e-01    4.86875954e-10
   4.00000000e-01    6.44530838e-10
   4.10000000e-01    8.53269358e-10
   4.20000000e-01    1.12964478e-09
   4.30000000e-01    1.49557434e-09
   4.40000000e-01    1.98007737e-09
   4.50000000e-01    2.62157672e-09
   4.60000000e-01    3.47094586e-09
   4.70000000e-01    4.59554342e-09
   4.80000000e-01    6.08455511e-09
   4.90000000e-01    8.05606657e-09
   5.00000000e-01    1.06664282e-08
   5.10000000e-01    1.41226547e-08
   5.20000000e-01    1.86988420e-08
   5.30000000e-01    2.47579051e-08
   5.40000000e-01    3.27803587e-08
   5.50000000e-01    4.34024247e-08
   5.60000000e-01    5.74664879e-08
   5.70000000e-01    7.60879015e-08
   5.80000000e-01    1.00743441e-07
   5.90000000e-01    1.33388418e-07
   6.00000000e-01    1.76611751e-07
   6.10000000e-01    2.33841277e-07
   6.20000000e-01    3.09615595e-07
   6.30000000e-01    4.09944008e-07
   6.40000000e-01    5.42783082e-07
   6.50000000e-01    7.18667655e-07
   6.60000000e-01    9.51546295e-07
   6.70000000e-01    1.25988750e-06
   6.80000000e-01    1.66814434e-06
   6.90000000e-01    2.20869374e-06
   7.00000000e-01    2.92440409e-06
   7.10000000e-01    3.87203498e-06
   7.20000000e-01    5.12673852e-06
   7.30000000e-01    6.78801928e-06
   7.40000000e-01    8.98762555e-06
   7.50000000e-01    1.18999977e-05
   7.60000000e-01    1.57561020e-05
   7.70000000e-01    2.08617478e-05
   7.80000000e-01    2.76218398e-05
   7.90000000e-01    3.65724886e-05
   8.00000000e-01    4.84235276e-05
   8.10000000e-01    6.41148066e-05
   8.20000000e-01    8.48907262e-05
   8.30000000e-01    1.12398926e-04
   8.40000000e-01    1.48820951e-04
   8.50000000e-01    1.97045258e-04
   8.60000000e-01    2.60896288e-04
   8.70000000e-01    3.45437764e-04
   8.80000000e-01    4.57374268e-04
   8.90000000e-01    6.05582953e-04
   9.00000000e-01    8.01817544e-04
   9.10000000e-01    1.06164048e-03
   9.20000000e-01    1.40565707e-03
   9.30000000e-01    1.86114965e-03
   9.40000000e-01    2.46424117e-03
   9.50000000e-01    3.26275995e-03
   9.60000000e-01    4.32003272e-03
   9.70000000e-01    5.71990677e-03
   9.80000000e-01    7.57339945e-03
   9.90000000e-01    1.00275025e-02
   1.00000000e+00    1.32768391e-02
End of Xyce(TM) Simulation
