      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.26333973e-13
   2.00000000e-02    2.78052038e-13
   3.00000000e-02    4.61251804e-13
   4.00000000e-02    6.83507654e-13
   5.00000000e-02    9.54232207e-13
   6.00000000e-02    1.28512745e-12
   7.00000000e-02    1.69074812e-12
   8.00000000e-02    2.18920584e-12
   9.00000000e-02    2.80304968e-12
   1.00000000e-01    3.56036824e-12
   1.10000000e-01    4.49617014e-12
   1.20000000e-01    5.65411448e-12
   1.30000000e-01    7.08868197e-12
   1.40000000e-01    8.86790134e-12
   1.50000000e-01    1.10767760e-11
   1.60000000e-01    1.38215953e-11
   1.70000000e-01    1.72353633e-11
   1.80000000e-01    2.14846420e-11
   1.90000000e-01    2.67781874e-11
   2.00000000e-01    3.33778570e-11
   2.10000000e-01    4.16124042e-11
   2.20000000e-01    5.18949410e-11
   2.30000000e-01    6.47450696e-11
   2.40000000e-01    8.08169644e-11
   2.50000000e-01    1.00935045e-10
   2.60000000e-01    1.26139344e-10
   2.70000000e-01    1.57743278e-10
   2.80000000e-01    1.97407297e-10
   2.90000000e-01    2.47232885e-10
   3.00000000e-01    3.09882692e-10
   3.10000000e-01    3.88734241e-10
   3.20000000e-01    4.88076831e-10
   3.30000000e-01    6.13364071e-10
   3.40000000e-01    7.71538172e-10
   3.50000000e-01    9.71446857e-10
   3.60000000e-01    1.22437997e-09
   3.70000000e-01    1.54476097e-09
   3.80000000e-01    1.95103898e-09
   3.90000000e-01    2.46684093e-09
   4.00000000e-01    3.12246111e-09
   4.10000000e-01    3.95678916e-09
   4.20000000e-01    5.01980802e-09
   4.30000000e-01    6.37583370e-09
   4.40000000e-01    8.10772116e-09
   4.50000000e-01    1.03223299e-08
   4.60000000e-01    1.31576325e-08
   4.70000000e-01    1.67919694e-08
   4.80000000e-01    2.14561067e-08
   4.90000000e-01    2.74489597e-08
   5.00000000e-01    3.51581138e-08
   5.10000000e-01    4.50866254e-08
   5.20000000e-01    5.78880502e-08
   5.30000000e-01    7.44122583e-08
   5.40000000e-01    9.57653958e-08
   5.50000000e-01    1.23388412e-07
   5.60000000e-01    1.59159962e-07
   5.70000000e-01    2.05531328e-07
   5.80000000e-01    2.65703428e-07
   5.90000000e-01    3.43859136e-07
   6.00000000e-01    4.45468388e-07
   6.10000000e-01    5.77689021e-07
   6.20000000e-01    7.49893653e-07
   6.30000000e-01    9.74362499e-07
   6.40000000e-01    1.26719476e-06
   6.50000000e-01    1.64950797e-06
   6.60000000e-01    2.14901688e-06
   6.70000000e-01    2.80211261e-06
   6.80000000e-01    3.65660151e-06
   6.90000000e-01    4.77531398e-06
   7.00000000e-01    6.24086114e-06
   7.10000000e-01    8.16190582e-06
   7.20000000e-01    1.06814321e-05
   7.30000000e-01    1.39876527e-05
   7.40000000e-01    1.83283996e-05
   7.50000000e-01    2.40301121e-05
   7.60000000e-01    3.15228983e-05
   7.70000000e-01    4.13736168e-05
   7.80000000e-01    5.43295536e-05
   7.90000000e-01    7.13760951e-05
   8.00000000e-01    9.38128959e-05
   8.10000000e-01    1.23354483e-04
   8.20000000e-01    1.62263158e-04
   8.30000000e-01    2.13524579e-04
   8.40000000e-01    2.81079766e-04
   8.50000000e-01    3.70131686e-04
   8.60000000e-01    4.87550430e-04
   8.70000000e-01    6.42408747e-04
   8.80000000e-01    8.46689923e-04
   8.90000000e-01    1.11622356e-03
   9.00000000e-01    1.47192269e-03
   9.10000000e-01    1.94141943e-03
   9.20000000e-01    2.56122766e-03
   9.30000000e-01    3.37960269e-03
   9.40000000e-01    4.46032292e-03
   9.50000000e-01    5.88769071e-03
   9.60000000e-01    7.77314629e-03
   9.70000000e-01    1.02640150e-02
   9.80000000e-01    1.35550768e-02
   9.90000000e-01    1.79038689e-02
   1.00000000e+00    2.36509275e-02
End of Xyce(TM) Simulation
