      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    2.24497861e-14
   2.00000000e-02    4.56438116e-14
   3.00000000e-02    6.98101681e-14
   4.00000000e-02    9.52476215e-14
   5.00000000e-02    1.22347805e-13
   6.00000000e-02    1.51624493e-13
   7.00000000e-02    1.83752256e-13
   8.00000000e-02    2.19617560e-13
   9.00000000e-02    2.60386394e-13
   1.00000000e-01    3.07593889e-13
   1.10000000e-01    3.63263200e-13
   1.20000000e-01    4.30063446e-13
   1.30000000e-01    5.11519773e-13
   1.40000000e-01    6.12293147e-13
   1.50000000e-01    7.38553505e-13
   1.60000000e-01    8.98478124e-13
   1.70000000e-01    1.10291815e-12
   1.80000000e-01    1.36629128e-12
   1.90000000e-01    1.70777910e-12
   2.00000000e-01    2.15293530e-12
   2.10000000e-01    2.73584890e-12
   2.20000000e-01    3.50205830e-12
   2.30000000e-01    4.51248234e-12
   2.40000000e-01    5.84873098e-12
   2.50000000e-01    7.62028997e-12
   2.60000000e-01    9.97425442e-12
   2.70000000e-01    1.31085340e-11
   2.80000000e-01    1.72897923e-11
   2.90000000e-01    2.28778502e-11
   3.00000000e-01    3.03589261e-11
   3.10000000e-01    4.03909702e-11
   3.20000000e-01    5.38655708e-11
   3.30000000e-01    7.19925923e-11
   3.40000000e-01    9.64160261e-11
   3.50000000e-01    1.29372745e-10
   3.60000000e-01    1.73910289e-10
   3.70000000e-01    2.34185932e-10
   3.80000000e-01    3.15877808e-10
   3.90000000e-01    4.26750580e-10
   4.00000000e-01    5.77434514e-10
   4.10000000e-01    7.82499367e-10
   4.20000000e-01    1.06193591e-09
   4.30000000e-01    1.44320141e-09
   4.40000000e-01    1.96404597e-09
   4.50000000e-01    2.67642048e-09
   4.60000000e-01    3.65188385e-09
   4.70000000e-01    4.98908946e-09
   4.80000000e-01    6.82415669e-09
   4.90000000e-01    9.34504741e-09
   5.00000000e-01    1.28115047e-08
   5.10000000e-01    1.75827201e-08
   5.20000000e-01    2.41557423e-08
   5.30000000e-01    3.32188228e-08
   5.40000000e-01    4.57255367e-08
   5.50000000e-01    6.29978122e-08
   5.60000000e-01    8.68691924e-08
   5.70000000e-01    1.19884114e-07
   5.80000000e-01    1.65575188e-07
   5.90000000e-01    2.28849138e-07
   6.00000000e-01    3.16524126e-07
   6.10000000e-01    4.38078023e-07
   6.20000000e-01    6.06690744e-07
   6.30000000e-01    8.40696473e-07
   6.40000000e-01    1.16560747e-06
   6.50000000e-01    1.61693492e-06
   6.60000000e-01    2.24412151e-06
   6.70000000e-01    3.11602476e-06
   6.80000000e-01    4.32856396e-06
   6.90000000e-01    6.01538583e-06
   7.00000000e-01    8.36274284e-06
   7.10000000e-01    1.16302507e-05
   7.20000000e-01    1.61798515e-05
   7.30000000e-01    2.25162312e-05
   7.40000000e-01    3.13432262e-05
   7.50000000e-01    4.36425542e-05
   7.60000000e-01    6.07837109e-05
   7.70000000e-01    8.46773867e-05
   7.80000000e-01    1.17989650e-04
   7.90000000e-01    1.64440989e-04
   8.00000000e-01    2.29223868e-04
   8.10000000e-01    3.19585781e-04
   8.20000000e-01    4.45643477e-04
   8.30000000e-01    6.21520037e-04
   8.40000000e-01    8.66932935e-04
   8.50000000e-01    1.20941201e-03
   8.60000000e-01    1.68739738e-03
   8.70000000e-01    2.35456653e-03
   8.80000000e-01    3.28587854e-03
   8.90000000e-01    4.58601713e-03
   9.00000000e-01    6.40118495e-03
   9.10000000e-01    8.93557976e-03
   9.20000000e-01    1.24744117e-02
   9.30000000e-01    1.74160592e-02
   9.40000000e-01    2.43169930e-02
   9.50000000e-01    3.39545399e-02
   9.60000000e-01    4.74145707e-02
   9.70000000e-01    6.62140146e-02
   9.80000000e-01    9.24720335e-02
   9.90000000e-01    1.29149186e-01
   1.00000000e+00    1.80381593e-01
End of Xyce(TM) Simulation
