      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    3.18413096e-14
   2.00000000e-02    7.00357333e-14
   3.00000000e-02    1.16431240e-13
   4.00000000e-02    1.73413328e-13
   5.00000000e-02    2.44061381e-13
   6.00000000e-02    3.32350501e-13
   7.00000000e-02    4.43412052e-13
   8.00000000e-02    5.83869989e-13
   9.00000000e-02    7.62275016e-13
   1.00000000e-01    9.89665035e-13
   1.10000000e-01    1.28028861e-12
   1.20000000e-01    1.65253886e-12
   1.30000000e-01    2.13015903e-12
   1.40000000e-01    2.74379873e-12
   1.50000000e-01    3.53302276e-12
   1.60000000e-01    4.54890440e-12
   1.70000000e-01    5.85737294e-12
   1.80000000e-01    7.54353489e-12
   1.90000000e-01    9.71725223e-12
   2.00000000e-01    1.25203432e-11
   2.10000000e-01    1.61358774e-11
   2.20000000e-01    2.08001752e-11
   2.30000000e-01    2.68182968e-11
   2.40000000e-01    3.45840371e-11
   2.50000000e-01    4.46057367e-11
   2.60000000e-01    5.75396000e-11
   2.70000000e-01    7.42327058e-11
   2.80000000e-01    9.57785278e-11
   2.90000000e-01    1.23588605e-10
   3.00000000e-01    1.59485059e-10
   3.10000000e-01    2.05820023e-10
   3.20000000e-01    2.65629810e-10
   3.30000000e-01    3.42833924e-10
   3.40000000e-01    4.42491959e-10
   3.50000000e-01    5.71135220e-10
   3.60000000e-01    7.37194819e-10
   3.70000000e-01    9.51554270e-10
   3.80000000e-01    1.22826285e-09
   3.90000000e-01    1.58545641e-09
   4.00000000e-01    2.04654613e-09
   4.10000000e-01    2.64175290e-09
   4.20000000e-01    3.41008817e-09
   4.30000000e-01    4.40191086e-09
   4.40000000e-01    5.68222811e-09
   4.50000000e-01    7.33495611e-09
   4.60000000e-01    9.46842020e-09
   4.70000000e-01    1.22224550e-08
   4.80000000e-01    1.57775697e-08
   4.90000000e-01    2.03667793e-08
   5.00000000e-01    2.62908772e-08
   5.10000000e-01    3.39381504e-08
   5.20000000e-01    4.38098294e-08
   5.30000000e-01    5.65529407e-08
   5.40000000e-01    7.30027150e-08
   5.50000000e-01    9.42373320e-08
   5.60000000e-01    1.21648588e-07
   5.70000000e-01    1.57033119e-07
   5.80000000e-01    2.02710160e-07
   5.90000000e-01    2.61673557e-07
   6.00000000e-01    3.37787991e-07
   6.10000000e-01    4.36042288e-07
   6.20000000e-01    5.62876406e-07
   6.30000000e-01    7.26603530e-07
   6.40000000e-01    9.37954952e-07
   6.50000000e-01    1.21078344e-06
   6.60000000e-01    1.56297120e-06
   6.70000000e-01    2.01760195e-06
   6.80000000e-01    2.60447390e-06
   6.90000000e-01    3.36205284e-06
   7.00000000e-01    4.33999336e-06
   7.10000000e-01    5.60239337e-06
   7.20000000e-01    7.23199532e-06
   7.30000000e-01    9.33560946e-06
   7.40000000e-01    1.20511146e-05
   7.50000000e-01    1.55564952e-05
   7.60000000e-01    2.00815070e-05
   7.70000000e-01    2.59227365e-05
   7.80000000e-01    3.34630398e-05
   7.90000000e-01    4.31966369e-05
   8.00000000e-01    5.57615043e-05
   8.10000000e-01    7.19811909e-05
   8.20000000e-01    9.29187960e-05
   8.30000000e-01    1.19946649e-04
   8.40000000e-01    1.54836258e-04
   8.50000000e-01    1.99874419e-04
   8.60000000e-01    2.58013102e-04
   8.70000000e-01    3.33062937e-04
   8.80000000e-01    4.29942973e-04
   8.90000000e-01    5.55003091e-04
   9.00000000e-01    7.16440205e-04
   9.10000000e-01    9.24835510e-04
   9.20000000e-01    1.19384802e-03
   9.30000000e-01    1.54110983e-03
   9.40000000e-01    1.98938179e-03
   9.50000000e-01    2.56804533e-03
   9.60000000e-01    3.31502824e-03
   9.70000000e-01    4.27929060e-03
   9.80000000e-01    5.52403380e-03
   9.90000000e-01    7.13084300e-03
   1.00000000e+00    9.20503452e-03
End of Xyce(TM) Simulation
