      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    2.16010019e-13
   2.00000000e-02    4.89027310e-13
   3.00000000e-02    8.34826975e-13
   4.00000000e-02    1.27354942e-12
   5.00000000e-02    1.83090831e-12
   6.00000000e-02    2.53973283e-12
   7.00000000e-02    3.44193668e-12
   8.00000000e-02    4.59103195e-12
   9.00000000e-02    6.05533867e-12
   1.00000000e-01    7.92208242e-12
   1.10000000e-01    1.03026259e-11
   1.20000000e-01    1.33391483e-11
   1.30000000e-01    1.72131725e-11
   1.40000000e-01    2.21564530e-11
   1.50000000e-01    2.84648751e-11
   1.60000000e-01    3.65162020e-11
   1.70000000e-01    4.67927320e-11
   1.80000000e-01    5.99102251e-11
   1.90000000e-01    7.66548351e-11
   2.00000000e-01    9.80302610e-11
   2.10000000e-01    1.25317946e-10
   2.20000000e-01    1.60153936e-10
   2.30000000e-01    2.04627005e-10
   2.40000000e-01    2.61403932e-10
   2.50000000e-01    3.33889454e-10
   2.60000000e-01    4.26430465e-10
   2.70000000e-01    5.44576738e-10
   2.80000000e-01    6.95413783e-10
   2.90000000e-01    8.87987820e-10
   3.00000000e-01    1.13384835e-09
   3.10000000e-01    1.44774084e-09
   3.20000000e-01    1.84849118e-09
   3.30000000e-01    2.36013473e-09
   3.40000000e-01    3.01335797e-09
   3.50000000e-01    3.84733894e-09
   3.60000000e-01    4.91209709e-09
   3.70000000e-01    6.27149327e-09
   3.80000000e-01    8.00705998e-09
   3.90000000e-01    1.02228915e-08
   4.00000000e-01    1.30518870e-08
   4.10000000e-01    1.66637219e-08
   4.20000000e-01    2.12750241e-08
   4.30000000e-01    2.71623671e-08
   4.40000000e-01    3.46788581e-08
   4.50000000e-01    4.42753162e-08
   4.60000000e-01    5.65273119e-08
   4.70000000e-01    7.21696877e-08
   4.80000000e-01    9.21406326e-08
   4.90000000e-01    1.17637952e-07
   5.00000000e-01    1.50190909e-07
   5.10000000e-01    1.91751946e-07
   5.20000000e-01    2.44813787e-07
   5.30000000e-01    3.12558944e-07
   5.40000000e-01    3.99050597e-07
   5.50000000e-01    5.09476293e-07
   5.60000000e-01    6.50459082e-07
   5.70000000e-01    8.30454748e-07
   5.80000000e-01    1.06025897e-06
   5.90000000e-01    1.35365481e-06
   6.00000000e-01    1.72823940e-06
   6.10000000e-01    2.20647937e-06
   6.20000000e-01    2.81705832e-06
   6.30000000e-01    3.59659720e-06
   6.40000000e-01    4.59185075e-06
   6.50000000e-01    5.86251174e-06
   6.60000000e-01    7.48479114e-06
   6.70000000e-01    9.55598911e-06
   6.80000000e-01    1.22003308e-05
   6.90000000e-01    1.55764170e-05
   7.00000000e-01    1.98867367e-05
   7.10000000e-01    2.53898119e-05
   7.20000000e-01    3.24157028e-05
   7.30000000e-01    4.13858044e-05
   7.40000000e-01    5.28381204e-05
   7.50000000e-01    6.74595311e-05
   7.60000000e-01    8.61269915e-05
   7.70000000e-01    1.09960128e-04
   7.80000000e-01    1.40388390e-04
   7.90000000e-01    1.79236788e-04
   8.00000000e-01    2.28835349e-04
   8.10000000e-01    2.92158866e-04
   8.20000000e-01    3.73005322e-04
   8.30000000e-01    4.76223681e-04
   8.40000000e-01    6.08004713e-04
   8.50000000e-01    7.76252308e-04
   8.60000000e-01    9.91057524e-04
   8.70000000e-01    1.26530383e-03
   8.80000000e-01    1.61543981e-03
   8.90000000e-01    2.06246572e-03
   9.00000000e-01    2.63319303e-03
   9.10000000e-01    3.36185251e-03
   9.20000000e-01    4.29214727e-03
   9.30000000e-01    5.47987401e-03
   9.40000000e-01    6.99626953e-03
   9.50000000e-01    8.93228334e-03
   9.60000000e-01    1.14040326e-02
   9.70000000e-01    1.45597664e-02
   9.80000000e-01    1.85887577e-02
   9.90000000e-01    2.37326549e-02
   1.00000000e+00    3.02999759e-02
End of Xyce(TM) Simulation
