      V(2)             I(VOUT)     
   0.00000000e+00    2.43723449e-25
   1.00000000e+00    2.55835359e-06
   2.00000000e+00    2.74256765e-04
   3.00000000e+00    2.95938231e-04
   4.00000000e+00    2.96113576e-04
   5.00000000e+00    2.96279140e-04
   6.00000000e+00    2.96435796e-04
   7.00000000e+00    2.96584300e-04
   8.00000000e+00    2.96725316e-04
   9.00000000e+00    2.96859433e-04
   1.00000000e+01    2.96987177e-04
   1.10000000e+01    2.97109016e-04
   1.20000000e+01    2.97225374e-04
   1.30000000e+01    2.97336630e-04
   1.40000000e+01    2.97443127e-04
   1.50000000e+01    2.97545179e-04
   1.60000000e+01    2.97643067e-04
   1.70000000e+01    2.97737051e-04
   1.80000000e+01    2.97827368e-04
   1.90000000e+01    2.97914233e-04
   2.00000000e+01    2.97997847e-04
   2.10000000e+01    2.98078392e-04
   2.20000000e+01    2.98156037e-04
   2.30000000e+01    2.98230940e-04
   2.40000000e+01    2.98303243e-04
   2.50000000e+01    2.98373082e-04
   2.60000000e+01    2.98440582e-04
   2.70000000e+01    2.98505857e-04
   2.80000000e+01    2.98569016e-04
   2.90000000e+01    2.98630161e-04
   3.00000000e+01    2.98689384e-04
End of Xyce(TM) Simulation
