      V(2)             I(VOUT)     
   0.00000000e+00   -6.21059128e-27
   1.00000000e+00    2.18495674e-06
   2.00000000e+00    1.01899212e-04
   3.00000000e+00    1.15155003e-04
   4.00000000e+00    1.16428433e-04
   5.00000000e+00    1.17696129e-04
   6.00000000e+00    1.18958109e-04
   7.00000000e+00    1.20214388e-04
   8.00000000e+00    1.21464978e-04
   9.00000000e+00    1.22709888e-04
   1.00000000e+01    1.23949120e-04
   1.10000000e+01    1.25182671e-04
   1.20000000e+01    1.26410528e-04
   1.30000000e+01    1.27632666e-04
   1.40000000e+01    1.28849037e-04
   1.50000000e+01    1.30059561e-04
   1.60000000e+01    1.31264110e-04
   1.70000000e+01    1.32462458e-04
   1.80000000e+01    1.33654201e-04
   1.90000000e+01    1.34838535e-04
   2.00000000e+01    1.36013547e-04
   2.10000000e+01    1.37172864e-04
   2.20000000e+01    1.38271602e-04
   2.30000000e+01    1.39241186e-04
   2.40000000e+01    1.40199964e-04
   2.50000000e+01    1.41156515e-04
   2.60000000e+01    1.42110833e-04
   2.70000000e+01    1.43059719e-04
   2.80000000e+01    1.44289199e-04
   2.90000000e+01    1.45983866e-04
   3.00000000e+01    1.47910873e-04
End of Xyce(TM) Simulation
