      V(2)             I(VOUT)     
   0.00000000e+00    2.15808253e-25
   1.00000000e+00    1.93857523e-06
   2.00000000e+00    1.91874901e-04
   3.00000000e+00    2.11708948e-04
   4.00000000e+00    2.19090942e-04
   5.00000000e+00    2.26614874e-04
   6.00000000e+00    2.34297687e-04
   7.00000000e+00    2.42163494e-04
   8.00000000e+00    2.50278727e-04
   9.00000000e+00    2.59069011e-04
   1.00000000e+01    2.87576215e-04
   1.10000000e+01    2.88128263e-04
   1.20000000e+01    2.88558115e-04
   1.30000000e+01    2.88928972e-04
   1.40000000e+01    2.89260813e-04
   1.50000000e+01    2.89564782e-04
   1.60000000e+01    2.89846702e-04
   1.70000000e+01    2.90110400e-04
   1.80000000e+01    2.90358565e-04
   1.90000000e+01    2.90593196e-04
   2.00000000e+01    2.90815836e-04
   2.10000000e+01    2.91027720e-04
   2.20000000e+01    2.91229863e-04
   2.30000000e+01    2.91423111e-04
   2.40000000e+01    2.91608188e-04
   2.50000000e+01    2.91785717e-04
   2.60000000e+01    2.91956244e-04
   2.70000000e+01    2.92120249e-04
   2.80000000e+01    2.92278160e-04
   2.90000000e+01    2.92430361e-04
   3.00000000e+01    2.92577196e-04
End of Xyce(TM) Simulation
