      V(2)             I(VOUT)     
   0.00000000e+00   -8.65195321e-26
   1.00000000e+00    2.14967165e-06
   2.00000000e+00    2.70307042e-04
   3.00000000e+00    2.92542610e-04
   4.00000000e+00    2.92823739e-04
   5.00000000e+00    2.93085717e-04
   6.00000000e+00    2.93330974e-04
   7.00000000e+00    2.93561420e-04
   8.00000000e+00    2.93778621e-04
   9.00000000e+00    2.93983886e-04
   1.00000000e+01    2.94178321e-04
   1.10000000e+01    2.94362882e-04
   1.20000000e+01    2.94538393e-04
   1.30000000e+01    2.94705580e-04
   1.40000000e+01    2.94865081e-04
   1.50000000e+01    2.95017463e-04
   1.60000000e+01    2.95163233e-04
   1.70000000e+01    2.95302845e-04
   1.80000000e+01    2.95436710e-04
   1.90000000e+01    2.95565198e-04
   2.00000000e+01    2.95688646e-04
   2.10000000e+01    2.95807361e-04
   2.20000000e+01    2.95921624e-04
   2.30000000e+01    2.96031691e-04
   2.40000000e+01    2.96137801e-04
   2.50000000e+01    2.96240169e-04
   2.60000000e+01    2.96338997e-04
   2.70000000e+01    2.96434472e-04
   2.80000000e+01    2.96526765e-04
   2.90000000e+01    2.96616036e-04
   3.00000000e+01    2.96702435e-04
End of Xyce(TM) Simulation
