      V(2)             I(VOUT)     
   0.00000000e+00    2.60880580e-26
   1.00000000e+00    1.93095522e-06
   2.00000000e+00    1.33400137e-04
   3.00000000e+00    1.48657504e-04
   4.00000000e+00    1.51917869e-04
   5.00000000e+00    1.55929143e-04
   6.00000000e+00    1.60222402e-04
   7.00000000e+00    1.64692722e-04
   8.00000000e+00    1.69305254e-04
   9.00000000e+00    1.74036644e-04
   1.00000000e+01    1.78875628e-04
   1.10000000e+01    1.83814989e-04
   1.20000000e+01    1.88850023e-04
   1.30000000e+01    1.93977682e-04
   1.40000000e+01    1.99196089e-04
   1.50000000e+01    2.04504286e-04
   1.60000000e+01    2.09902091e-04
   1.70000000e+01    2.15390063e-04
   1.80000000e+01    2.20969576e-04
   1.90000000e+01    2.26642917e-04
   2.00000000e+01    2.32413792e-04
   2.10000000e+01    2.38288091e-04
   2.20000000e+01    2.44275924e-04
   2.30000000e+01    2.50397430e-04
   2.40000000e+01    2.56706526e-04
   2.50000000e+01    2.63555844e-04
   2.60000000e+01    2.85014701e-04
   2.70000000e+01    2.85493765e-04
   2.80000000e+01    2.85872843e-04
   2.90000000e+01    2.86203384e-04
   3.00000000e+01    2.86501818e-04
End of Xyce(TM) Simulation
