      V(2)             I(VOUT)     
   0.00000000e+00    1.32402669e-25
   1.00000000e+00    2.00701708e-06
   2.00000000e+00    2.37725293e-04
   3.00000000e+00    2.88805085e-04
   4.00000000e+00    2.89373113e-04
   5.00000000e+00    2.89827256e-04
   6.00000000e+00    2.90217958e-04
   7.00000000e+00    2.90568311e-04
   8.00000000e+00    2.90888084e-04
   9.00000000e+00    2.91183393e-04
   1.00000000e+01    2.91458337e-04
   1.10000000e+01    2.91715859e-04
   1.20000000e+01    2.91958176e-04
   1.30000000e+01    2.92187028e-04
   1.40000000e+01    2.92403820e-04
   1.50000000e+01    2.92609713e-04
   1.60000000e+01    2.92805684e-04
   1.70000000e+01    2.92992571e-04
   1.80000000e+01    2.93171098e-04
   1.90000000e+01    2.93341898e-04
   2.00000000e+01    2.93505531e-04
   2.10000000e+01    2.93662494e-04
   2.20000000e+01    2.93813233e-04
   2.30000000e+01    2.93958147e-04
   2.40000000e+01    2.94097599e-04
   2.50000000e+01    2.94231918e-04
   2.60000000e+01    2.94361404e-04
   2.70000000e+01    2.94486331e-04
   2.80000000e+01    2.94606951e-04
   2.90000000e+01    2.94723495e-04
   3.00000000e+01    2.94836178e-04
End of Xyce(TM) Simulation
