      V(2)             I(VOUT)     
   0.00000000e+00   -8.10315849e-25
   1.00000000e+00    9.66696441e-06
   2.00000000e+00    2.76997365e-04
   3.00000000e+00    2.98136475e-04
   4.00000000e+00    2.98253884e-04
   5.00000000e+00    2.98364014e-04
   6.00000000e+00    2.98468644e-04
   7.00000000e+00    2.98568198e-04
   8.00000000e+00    2.98663056e-04
   9.00000000e+00    2.98753558e-04
   1.00000000e+01    2.98840010e-04
   1.10000000e+01    2.98922690e-04
   1.20000000e+01    2.99001848e-04
   1.30000000e+01    2.99077711e-04
   1.40000000e+01    2.99150489e-04
   1.50000000e+01    2.99220369e-04
   1.60000000e+01    2.99287526e-04
   1.70000000e+01    2.99352118e-04
   1.80000000e+01    2.99414293e-04
   1.90000000e+01    2.99474185e-04
   2.00000000e+01    2.99531918e-04
   2.10000000e+01    2.99587607e-04
   2.20000000e+01    2.99641359e-04
   2.30000000e+01    2.99693274e-04
   2.40000000e+01    2.99743442e-04
   2.50000000e+01    2.99791950e-04
   2.60000000e+01    2.99838877e-04
   2.70000000e+01    2.99884298e-04
   2.80000000e+01    2.99928282e-04
   2.90000000e+01    2.99970895e-04
   3.00000000e+01    3.00012198e-04
End of Xyce(TM) Simulation
