      V(2)             I(VOUT)     
   0.00000000e+00   -1.93826419e-24
   1.00000000e+00    2.28607067e-06
   2.00000000e+00    9.67788056e-05
   3.00000000e+00    1.08687545e-04
   4.00000000e+00    1.09828858e-04
   5.00000000e+00    1.10965943e-04
   6.00000000e+00    1.12098811e-04
   7.00000000e+00    1.13227470e-04
   8.00000000e+00    1.14351931e-04
   9.00000000e+00    1.15472203e-04
   1.00000000e+01    1.16588294e-04
   1.10000000e+01    1.17700211e-04
   1.20000000e+01    1.18807963e-04
   1.30000000e+01    1.19911554e-04
   1.40000000e+01    1.21010988e-04
   1.50000000e+01    1.22106268e-04
   1.60000000e+01    1.23197393e-04
   1.70000000e+01    1.24284358e-04
   1.80000000e+01    1.25367154e-04
   1.90000000e+01    1.26445766e-04
   2.00000000e+01    1.27520167e-04
   2.10000000e+01    1.28590319e-04
   2.20000000e+01    1.29656159e-04
   2.30000000e+01    1.30717593e-04
   2.40000000e+01    1.31774469e-04
   2.50000000e+01    1.32826529e-04
   2.60000000e+01    1.33873300e-04
   2.70000000e+01    1.34913790e-04
   2.80000000e+01    1.35945398e-04
   2.90000000e+01    1.36957085e-04
   3.00000000e+01    1.37873915e-04
End of Xyce(TM) Simulation
