      V(2)             I(VOUT)     
   0.00000000e+00   -3.00500166e-25
   1.00000000e+00    2.36144162e-06
   2.00000000e+00    9.36120966e-05
   3.00000000e+00    1.04695622e-04
   4.00000000e+00    1.05752514e-04
   5.00000000e+00    1.06805991e-04
   6.00000000e+00    1.07856058e-04
   7.00000000e+00    1.08902720e-04
   8.00000000e+00    1.09945984e-04
   9.00000000e+00    1.10985853e-04
   1.00000000e+01    1.12022333e-04
   1.10000000e+01    1.13055429e-04
   1.20000000e+01    1.14085146e-04
   1.30000000e+01    1.15111489e-04
   1.40000000e+01    1.16134461e-04
   1.50000000e+01    1.17154067e-04
   1.60000000e+01    1.18170310e-04
   1.70000000e+01    1.19183191e-04
   1.80000000e+01    1.20192714e-04
   1.90000000e+01    1.21198877e-04
   2.00000000e+01    1.22201680e-04
   2.10000000e+01    1.23201119e-04
   2.20000000e+01    1.24197188e-04
   2.30000000e+01    1.25189878e-04
   2.40000000e+01    1.26179173e-04
   2.50000000e+01    1.27165052e-04
   2.60000000e+01    1.28147482e-04
   2.70000000e+01    1.29126418e-04
   2.80000000e+01    1.30101789e-04
   2.90000000e+01    1.31073489e-04
   3.00000000e+01    1.32041346e-04
End of Xyce(TM) Simulation
