      V(2)             I(VOUT)     
   0.00000000e+00   -5.43316402e-26
   1.00000000e+00    1.94874785e-06
   2.00000000e+00    2.01174840e-04
   3.00000000e+00    2.22244889e-04
   4.00000000e+00    2.30112931e-04
   5.00000000e+00    2.38156613e-04
   6.00000000e+00    2.46426926e-04
   7.00000000e+00    2.55115288e-04
   8.00000000e+00    2.87565048e-04
   9.00000000e+00    2.88214940e-04
   1.00000000e+01    2.88683772e-04
   1.10000000e+01    2.89078519e-04
   1.20000000e+01    2.89427291e-04
   1.30000000e+01    2.89744596e-04
   1.40000000e+01    2.90037446e-04
   1.50000000e+01    2.90310342e-04
   1.60000000e+01    2.90566387e-04
   1.70000000e+01    2.90807848e-04
   1.80000000e+01    2.91036459e-04
   1.90000000e+01    2.91253595e-04
   2.00000000e+01    2.91460375e-04
   2.10000000e+01    2.91657731e-04
   2.20000000e+01    2.91846453e-04
   2.30000000e+01    2.92027221e-04
   2.40000000e+01    2.92200625e-04
   2.50000000e+01    2.92367187e-04
   2.60000000e+01    2.92527367e-04
   2.70000000e+01    2.92681577e-04
   2.80000000e+01    2.92830190e-04
   2.90000000e+01    2.92973539e-04
   3.00000000e+01    2.93111929e-04
End of Xyce(TM) Simulation
