      V(2)             I(VOUT)     
   0.00000000e+00    3.85200315e-25
   1.00000000e+00    2.41245925e-05
   2.00000000e+00    2.75872612e-04
   3.00000000e+00    2.97258459e-04
   4.00000000e+00    2.97398154e-04
   5.00000000e+00    2.97530170e-04
   6.00000000e+00    2.97655380e-04
   7.00000000e+00    2.97774328e-04
   8.00000000e+00    2.97887500e-04
   9.00000000e+00    2.97995327e-04
   1.00000000e+01    2.98098198e-04
   1.10000000e+01    2.98196464e-04
   1.20000000e+01    2.98290439e-04
   1.30000000e+01    2.98380409e-04
   1.40000000e+01    2.98466635e-04
   1.50000000e+01    2.98549352e-04
   1.60000000e+01    2.98628778e-04
   1.70000000e+01    2.98705109e-04
   1.80000000e+01    2.98778527e-04
   1.90000000e+01    2.98849199e-04
   2.00000000e+01    2.98917279e-04
   2.10000000e+01    2.98982907e-04
   2.20000000e+01    2.99046216e-04
   2.30000000e+01    2.99107327e-04
   2.40000000e+01    2.99166352e-04
   2.50000000e+01    2.99223397e-04
   2.60000000e+01    2.99278558e-04
   2.70000000e+01    2.99331926e-04
   2.80000000e+01    2.99383587e-04
   2.90000000e+01    2.99433620e-04
   3.00000000e+01    2.99482099e-04
End of Xyce(TM) Simulation
