      V(2)             I(VOUT)     
   0.00000000e+00   -5.20120733e-27
   1.00000000e+00    2.04960827e-06
   2.00000000e+00    1.11645578e-04
   3.00000000e+00    1.27522668e-04
   4.00000000e+00    1.29031048e-04
   5.00000000e+00    1.30529702e-04
   6.00000000e+00    1.32018394e-04
   7.00000000e+00    1.33496669e-04
   8.00000000e+00    1.34963586e-04
   9.00000000e+00    1.36416869e-04
   1.00000000e+01    1.37848930e-04
   1.10000000e+01    1.39206386e-04
   1.20000000e+01    1.40395716e-04
   1.30000000e+01    1.41568795e-04
   1.40000000e+01    1.42738016e-04
   1.50000000e+01    1.43903380e-04
   1.60000000e+01    1.45064004e-04
   1.70000000e+01    1.46786668e-04
   1.80000000e+01    1.49199367e-04
   1.90000000e+01    1.51891555e-04
   2.00000000e+01    1.54749782e-04
   2.10000000e+01    1.57734760e-04
   2.20000000e+01    1.60818582e-04
   2.30000000e+01    1.63988164e-04
   2.40000000e+01    1.67234752e-04
   2.50000000e+01    1.70552326e-04
   2.60000000e+01    1.73936607e-04
   2.70000000e+01    1.77384488e-04
   2.80000000e+01    1.80893688e-04
   2.90000000e+01    1.84462533e-04
   3.00000000e+01    1.88089813e-04
End of Xyce(TM) Simulation
