      V(2)             I(VOUT)     
   0.00000000e+00   -1.74172317e-25
   1.00000000e+00    1.93083740e-06
   2.00000000e+00    1.83896193e-04
   3.00000000e+00    2.02773572e-04
   4.00000000e+00    2.09748132e-04
   5.00000000e+00    2.16853025e-04
   6.00000000e+00    2.24096077e-04
   7.00000000e+00    2.31484931e-04
   8.00000000e+00    2.39035003e-04
   9.00000000e+00    2.46781991e-04
   1.00000000e+01    2.54849472e-04
   1.10000000e+01    2.86875435e-04
   1.20000000e+01    2.87586161e-04
   1.30000000e+01    2.88060806e-04
   1.40000000e+01    2.88454974e-04
   1.50000000e+01    2.88801150e-04
   1.60000000e+01    2.89115664e-04
   1.70000000e+01    2.89405891e-04
   1.80000000e+01    2.89676492e-04
   1.90000000e+01    2.89930624e-04
   2.00000000e+01    2.90170561e-04
   2.10000000e+01    2.90398026e-04
   2.20000000e+01    2.90614369e-04
   2.30000000e+01    2.90820684e-04
   2.40000000e+01    2.91017876e-04
   2.50000000e+01    2.91206707e-04
   2.60000000e+01    2.91387834e-04
   2.70000000e+01    2.91561823e-04
   2.80000000e+01    2.91729173e-04
   2.90000000e+01    2.91890325e-04
   3.00000000e+01    2.92045674e-04
End of Xyce(TM) Simulation
