      V(2)             I(VOUT)     
   0.00000000e+00    1.16251837e-25
   1.00000000e+00    2.42953809e-06
   2.00000000e+00    2.73440890e-04
   3.00000000e+00    2.95246098e-04
   4.00000000e+00    2.95442520e-04
   5.00000000e+00    2.95626153e-04
   6.00000000e+00    2.95799668e-04
   7.00000000e+00    2.95963954e-04
   8.00000000e+00    2.96119788e-04
   9.00000000e+00    2.96267856e-04
   1.00000000e+01    2.96408765e-04
   1.10000000e+01    2.96543057e-04
   1.20000000e+01    2.96671216e-04
   1.30000000e+01    2.96793676e-04
   1.40000000e+01    2.96910829e-04
   1.50000000e+01    2.97023030e-04
   1.60000000e+01    2.97130600e-04
   1.70000000e+01    2.97233832e-04
   1.80000000e+01    2.97332993e-04
   1.90000000e+01    2.97428327e-04
   2.00000000e+01    2.97520059e-04
   2.10000000e+01    2.97608395e-04
   2.20000000e+01    2.97693524e-04
   2.30000000e+01    2.97775621e-04
   2.40000000e+01    2.97854849e-04
   2.50000000e+01    2.97931358e-04
   2.60000000e+01    2.98005286e-04
   2.70000000e+01    2.98076763e-04
   2.80000000e+01    2.98145910e-04
   2.90000000e+01    2.98212838e-04
   3.00000000e+01    2.98277654e-04
End of Xyce(TM) Simulation
