      V(2)             I(VOUT)     
   0.00000000e+00    2.44993093e-25
   1.00000000e+00    2.09833619e-06
   2.00000000e+00    1.07597892e-04
   3.00000000e+00    1.22374665e-04
   4.00000000e+00    1.23788375e-04
   5.00000000e+00    1.25194322e-04
   6.00000000e+00    1.26592497e-04
   7.00000000e+00    1.27982871e-04
   8.00000000e+00    1.29365376e-04
   9.00000000e+00    1.30739894e-04
   1.00000000e+01    1.32106206e-04
   1.10000000e+01    1.33463907e-04
   1.20000000e+01    1.34812182e-04
   1.30000000e+01    1.36149132e-04
   1.40000000e+01    1.37468754e-04
   1.50000000e+01    1.38732631e-04
   1.60000000e+01    1.39838373e-04
   1.70000000e+01    1.40921421e-04
   1.80000000e+01    1.42001353e-04
   1.90000000e+01    1.43078176e-04
   2.00000000e+01    1.44150125e-04
   2.10000000e+01    1.45565896e-04
   2.20000000e+01    1.47626382e-04
   2.30000000e+01    1.49969979e-04
   2.40000000e+01    1.52478889e-04
   2.50000000e+01    1.55112970e-04
   2.60000000e+01    1.57842691e-04
   2.70000000e+01    1.60654557e-04
   2.80000000e+01    1.63539445e-04
   2.90000000e+01    1.66491050e-04
   3.00000000e+01    1.69504858e-04
End of Xyce(TM) Simulation
