      V(2)             I(VOUT)     
   0.00000000e+00   -2.14325441e-26
   1.00000000e+00    2.48736654e-06
   2.00000000e+00    8.93432700e-05
   3.00000000e+00    9.93185243e-05
   4.00000000e+00    1.00258334e-04
   5.00000000e+00    1.01195690e-04
   6.00000000e+00    1.02130590e-04
   7.00000000e+00    1.03063037e-04
   8.00000000e+00    1.03993029e-04
   9.00000000e+00    1.04920568e-04
   1.00000000e+01    1.05845653e-04
   1.10000000e+01    1.06768286e-04
   1.20000000e+01    1.07688468e-04
   1.30000000e+01    1.08606198e-04
   1.40000000e+01    1.09521479e-04
   1.50000000e+01    1.10434310e-04
   1.60000000e+01    1.11344692e-04
   1.70000000e+01    1.12252627e-04
   1.80000000e+01    1.13158115e-04
   1.90000000e+01    1.14061156e-04
   2.00000000e+01    1.14961751e-04
   2.10000000e+01    1.15859901e-04
   2.20000000e+01    1.16755605e-04
   2.30000000e+01    1.17648864e-04
   2.40000000e+01    1.18539676e-04
   2.50000000e+01    1.19428040e-04
   2.60000000e+01    1.20313954e-04
   2.70000000e+01    1.21197416e-04
   2.80000000e+01    1.22078422e-04
   2.90000000e+01    1.22956966e-04
   3.00000000e+01    1.23833042e-04
End of Xyce(TM) Simulation
