      V(2)             I(VOUT)     
   0.00000000e+00    1.65158422e-25
   1.00000000e+00    3.14433517e-06
   2.00000000e+00    2.76313055e-04
   3.00000000e+00    2.97605890e-04
   4.00000000e+00    2.97736567e-04
   5.00000000e+00    2.97859896e-04
   6.00000000e+00    2.97976942e-04
   7.00000000e+00    2.98088201e-04
   8.00000000e+00    2.98194113e-04
   9.00000000e+00    2.98295076e-04
   1.00000000e+01    2.98391443e-04
   1.10000000e+01    2.98483536e-04
   1.20000000e+01    2.98571644e-04
   1.30000000e+01    2.98656030e-04
   1.40000000e+01    2.98736933e-04
   1.50000000e+01    2.98814570e-04
   1.60000000e+01    2.98889140e-04
   1.70000000e+01    2.98960827e-04
   1.80000000e+01    2.99029797e-04
   1.90000000e+01    2.99096204e-04
   2.00000000e+01    2.99160190e-04
   2.10000000e+01    2.99221887e-04
   2.20000000e+01    2.99281416e-04
   2.30000000e+01    2.99338889e-04
   2.40000000e+01    2.99394411e-04
   2.50000000e+01    2.99448079e-04
   2.60000000e+01    2.99499984e-04
   2.70000000e+01    2.99550209e-04
   2.80000000e+01    2.99598834e-04
   2.90000000e+01    2.99645933e-04
   3.00000000e+01    2.99691574e-04
End of Xyce(TM) Simulation
