      V(2)             I(VOUT)     
   0.00000000e+00   -3.00696264e-26
   1.00000000e+00    1.91869100e-06
   2.00000000e+00    1.59809628e-04
   3.00000000e+00    1.76080384e-04
   4.00000000e+00    1.81803212e-04
   5.00000000e+00    1.87650455e-04
   6.00000000e+00    1.93616019e-04
   7.00000000e+00    1.99696335e-04
   8.00000000e+00    2.05889658e-04
   9.00000000e+00    2.12195742e-04
   1.00000000e+01    2.18615845e-04
   1.10000000e+01    2.25152854e-04
   1.20000000e+01    2.31812256e-04
   1.30000000e+01    2.38603922e-04
   1.40000000e+01    2.45547573e-04
   1.50000000e+01    2.52693504e-04
   1.60000000e+01    2.60294187e-04
   1.70000000e+01    2.86351292e-04
   1.80000000e+01    2.86892267e-04
   1.90000000e+01    2.87305195e-04
   2.00000000e+01    2.87660715e-04
   2.10000000e+01    2.87978941e-04
   2.20000000e+01    2.88271107e-04
   2.30000000e+01    2.88542855e-04
   2.40000000e+01    2.88797839e-04
   2.50000000e+01    2.89038596e-04
   2.60000000e+01    2.89266985e-04
   2.70000000e+01    2.89484430e-04
   2.80000000e+01    2.89692060e-04
   2.90000000e+01    2.89890793e-04
   3.00000000e+01    2.90081394e-04
End of Xyce(TM) Simulation
