      V(2)             I(VOUT)     
   0.00000000e+00   -2.23374745e-25
   1.00000000e+00    2.47140131e-06
   2.00000000e+00    2.73730792e-04
   3.00000000e+00    2.95492663e-04
   4.00000000e+00    2.95682642e-04
   5.00000000e+00    2.95859749e-04
   6.00000000e+00    2.96027185e-04
   7.00000000e+00    2.96185785e-04
   8.00000000e+00    2.96336287e-04
   9.00000000e+00    2.96479338e-04
   1.00000000e+01    2.96615516e-04
   1.10000000e+01    2.96745337e-04
   1.20000000e+01    2.96869259e-04
   1.30000000e+01    2.96987700e-04
   1.40000000e+01    2.97101031e-04
   1.50000000e+01    2.97209594e-04
   1.60000000e+01    2.97313694e-04
   1.70000000e+01    2.97413612e-04
   1.80000000e+01    2.97509605e-04
   1.90000000e+01    2.97601907e-04
   2.00000000e+01    2.97690732e-04
   2.10000000e+01    2.97776279e-04
   2.20000000e+01    2.97858729e-04
   2.30000000e+01    2.97938251e-04
   2.40000000e+01    2.98015002e-04
   2.50000000e+01    2.98089124e-04
   2.60000000e+01    2.98160752e-04
   2.70000000e+01    2.98230011e-04
   2.80000000e+01    2.98297016e-04
   2.90000000e+01    2.98361876e-04
   3.00000000e+01    2.98424691e-04
End of Xyce(TM) Simulation
