      V(2)             I(VOUT)     
   0.00000000e+00    1.11913168e-24
   1.00000000e+00    1.99080388e-06
   2.00000000e+00    1.17810646e-04
   3.00000000e+00    1.35713238e-04
   4.00000000e+00    1.37349492e-04
   5.00000000e+00    1.38944008e-04
   6.00000000e+00    1.40360344e-04
   7.00000000e+00    1.41684465e-04
   8.00000000e+00    1.43002969e-04
   9.00000000e+00    1.44316187e-04
   1.00000000e+01    1.45623991e-04
   1.10000000e+01    1.47179869e-04
   1.20000000e+01    1.49849829e-04
   1.30000000e+01    1.52962651e-04
   1.40000000e+01    1.56294102e-04
   1.50000000e+01    1.59772812e-04
   1.60000000e+01    1.63370413e-04
   1.70000000e+01    1.67067037e-04
   1.80000000e+01    1.70852297e-04
   1.90000000e+01    1.74719243e-04
   2.00000000e+01    1.78663092e-04
   2.10000000e+01    1.82680476e-04
   2.20000000e+01    1.86769015e-04
   2.30000000e+01    1.90927048e-04
   2.40000000e+01    1.95153471e-04
   2.50000000e+01    1.99447629e-04
   2.60000000e+01    2.03809251e-04
   2.70000000e+01    2.08238415e-04
   2.80000000e+01    2.12735532e-04
   2.90000000e+01    2.17301362e-04
   3.00000000e+01    2.21937045e-04
End of Xyce(TM) Simulation
