      V(2)             I(VOUT)     
   0.00000000e+00    1.59342785e-25
   1.00000000e+00    2.09534478e-06
   2.00000000e+00    2.69087353e-04
   3.00000000e+00    2.91569975e-04
   4.00000000e+00    2.91890888e-04
   5.00000000e+00    2.92187015e-04
   6.00000000e+00    2.92462270e-04
   7.00000000e+00    2.92719510e-04
   8.00000000e+00    2.92960946e-04
   9.00000000e+00    2.93188349e-04
   1.00000000e+01    2.93403169e-04
   1.10000000e+01    2.93606618e-04
   1.20000000e+01    2.93799727e-04
   1.30000000e+01    2.93983381e-04
   1.40000000e+01    2.94158350e-04
   1.50000000e+01    2.94325311e-04
   1.60000000e+01    2.94484860e-04
   1.70000000e+01    2.94637530e-04
   1.80000000e+01    2.94783796e-04
   1.90000000e+01    2.94924086e-04
   2.00000000e+01    2.95058786e-04
   2.10000000e+01    2.95188246e-04
   2.20000000e+01    2.95312787e-04
   2.30000000e+01    2.95432698e-04
   2.40000000e+01    2.95548248e-04
   2.50000000e+01    2.95659680e-04
   2.60000000e+01    2.95767222e-04
   2.70000000e+01    2.95871080e-04
   2.80000000e+01    2.95971448e-04
   2.90000000e+01    2.96068504e-04
   3.00000000e+01    2.96162413e-04
End of Xyce(TM) Simulation
