      V(2)             I(VOUT)     
   0.00000000e+00   -1.22363598e-26
   1.00000000e+00    2.44519575e-06
   2.00000000e+00    9.07049367e-05
   3.00000000e+00    1.01032441e-04
   4.00000000e+00    1.02009983e-04
   5.00000000e+00    1.02984782e-04
   6.00000000e+00    1.03956838e-04
   7.00000000e+00    1.04926153e-04
   8.00000000e+00    1.05892729e-04
   9.00000000e+00    1.06856567e-04
   1.00000000e+01    1.07817670e-04
   1.10000000e+01    1.08776039e-04
   1.20000000e+01    1.09731676e-04
   1.30000000e+01    1.10684584e-04
   1.40000000e+01    1.11634763e-04
   1.50000000e+01    1.12582217e-04
   1.60000000e+01    1.13526947e-04
   1.70000000e+01    1.14468954e-04
   1.80000000e+01    1.15408239e-04
   1.90000000e+01    1.16344805e-04
   2.00000000e+01    1.17278652e-04
   2.10000000e+01    1.18209780e-04
   2.20000000e+01    1.19138189e-04
   2.30000000e+01    1.20063878e-04
   2.40000000e+01    1.20986846e-04
   2.50000000e+01    1.21907089e-04
   2.60000000e+01    1.22824603e-04
   2.70000000e+01    1.23739381e-04
   2.80000000e+01    1.24651415e-04
   2.90000000e+01    1.25560691e-04
   3.00000000e+01    1.26467192e-04
End of Xyce(TM) Simulation
