      V(2)             I(VOUT)     
   0.00000000e+00    2.97172252e-25
   1.00000000e+00    2.68093592e-06
   2.00000000e+00    8.43696089e-05
   3.00000000e+00    9.30547036e-05
   4.00000000e+00    9.38533812e-05
   5.00000000e+00    9.46505270e-05
   6.00000000e+00    9.54461376e-05
   7.00000000e+00    9.62402098e-05
   8.00000000e+00    9.70327405e-05
   9.00000000e+00    9.78237268e-05
   1.00000000e+01    9.86131657e-05
   1.10000000e+01    9.94010546e-05
   1.20000000e+01    1.00187391e-04
   1.30000000e+01    1.00972172e-04
   1.40000000e+01    1.01755395e-04
   1.50000000e+01    1.02537058e-04
   1.60000000e+01    1.03317160e-04
   1.70000000e+01    1.04095696e-04
   1.80000000e+01    1.04872666e-04
   1.90000000e+01    1.05648068e-04
   2.00000000e+01    1.06421899e-04
   2.10000000e+01    1.07194158e-04
   2.20000000e+01    1.07964842e-04
   2.30000000e+01    1.08733951e-04
   2.40000000e+01    1.09501482e-04
   2.50000000e+01    1.10267433e-04
   2.60000000e+01    1.11031803e-04
   2.70000000e+01    1.11794590e-04
   2.80000000e+01    1.12555793e-04
   2.90000000e+01    1.13315410e-04
   3.00000000e+01    1.14073438e-04
End of Xyce(TM) Simulation
