      V(2)             I(VOUT)     
   0.00000000e+00    2.05397881e-26
   1.00000000e+00    2.83912204e-06
   2.00000000e+00    8.11449253e-05
   3.00000000e+00    8.89870948e-05
   4.00000000e+00    8.96914658e-05
   5.00000000e+00    9.03947896e-05
   6.00000000e+00    9.10970619e-05
   7.00000000e+00    9.17982787e-05
   8.00000000e+00    9.24984358e-05
   9.00000000e+00    9.31975294e-05
   1.00000000e+01    9.38955555e-05
   1.10000000e+01    9.45925105e-05
   1.20000000e+01    9.52883906e-05
   1.30000000e+01    9.59831923e-05
   1.40000000e+01    9.66769121e-05
   1.50000000e+01    9.73695466e-05
   1.60000000e+01    9.80610924e-05
   1.70000000e+01    9.87515465e-05
   1.80000000e+01    9.94409055e-05
   1.90000000e+01    1.00129166e-04
   2.00000000e+01    1.00816326e-04
   2.10000000e+01    1.01502382e-04
   2.20000000e+01    1.02187331e-04
   2.30000000e+01    1.02871170e-04
   2.40000000e+01    1.03553897e-04
   2.50000000e+01    1.04235509e-04
   2.60000000e+01    1.04916003e-04
   2.70000000e+01    1.05595377e-04
   2.80000000e+01    1.06273628e-04
   2.90000000e+01    1.06950754e-04
   3.00000000e+01    1.07626753e-04
End of Xyce(TM) Simulation
