      V(2)             I(VOUT)     
   0.00000000e+00   -3.11782508e-25
   1.00000000e+00    1.00709110e-05
   2.00000000e+00    2.76899557e-04
   3.00000000e+00    2.98059618e-04
   4.00000000e+00    2.98178887e-04
   5.00000000e+00    2.98290915e-04
   6.00000000e+00    2.98397331e-04
   7.00000000e+00    2.98498569e-04
   8.00000000e+00    2.98595017e-04
   9.00000000e+00    2.98687024e-04
   1.00000000e+01    2.98774903e-04
   1.10000000e+01    2.98858938e-04
   1.20000000e+01    2.98939384e-04
   1.30000000e+01    2.99016474e-04
   1.40000000e+01    2.99090421e-04
   1.50000000e+01    2.99161418e-04
   1.60000000e+01    2.99229642e-04
   1.70000000e+01    2.99295256e-04
   1.80000000e+01    2.99358409e-04
   1.90000000e+01    2.99419238e-04
   2.00000000e+01    2.99477871e-04
   2.10000000e+01    2.99534425e-04
   2.20000000e+01    2.99589009e-04
   2.30000000e+01    2.99641724e-04
   2.40000000e+01    2.99692662e-04
   2.50000000e+01    2.99741913e-04
   2.60000000e+01    2.99789556e-04
   2.70000000e+01    2.99835669e-04
   2.80000000e+01    2.99880321e-04
   2.90000000e+01    2.99923579e-04
   3.00000000e+01    2.99965507e-04
End of Xyce(TM) Simulation
