      V(2)             I(VOUT)     
   0.00000000e+00    2.89006994e-25
   1.00000000e+00    2.27679219e-06
   2.00000000e+00    2.71873555e-04
   3.00000000e+00    2.94080805e-04
   4.00000000e+00    2.94310451e-04
   5.00000000e+00    2.94525874e-04
   6.00000000e+00    2.94728837e-04
   7.00000000e+00    2.94920526e-04
   8.00000000e+00    2.95101965e-04
   9.00000000e+00    2.95274039e-04
   1.00000000e+01    2.95437525e-04
   1.10000000e+01    2.95593106e-04
   1.20000000e+01    2.95741388e-04
   1.30000000e+01    2.95882912e-04
   1.40000000e+01    2.96018160e-04
   1.50000000e+01    2.96147567e-04
   1.60000000e+01    2.96271526e-04
   1.70000000e+01    2.96390393e-04
   1.80000000e+01    2.96504489e-04
   1.90000000e+01    2.96614110e-04
   2.00000000e+01    2.96719524e-04
   2.10000000e+01    2.96820979e-04
   2.20000000e+01    2.96918701e-04
   2.30000000e+01    2.97012898e-04
   2.40000000e+01    2.97103763e-04
   2.50000000e+01    2.97191474e-04
   2.60000000e+01    2.97276195e-04
   2.70000000e+01    2.97358080e-04
   2.80000000e+01    2.97437270e-04
   2.90000000e+01    2.97513898e-04
   3.00000000e+01    2.97588087e-04
End of Xyce(TM) Simulation
