      V(2)             I(VOUT)     
   0.00000000e+00   -1.59117929e-26
   1.00000000e+00    2.65231262e-06
   2.00000000e+00    2.74733681e-04
   3.00000000e+00    2.96333214e-04
   4.00000000e+00    2.96497727e-04
   5.00000000e+00    2.96653168e-04
   6.00000000e+00    2.96800352e-04
   7.00000000e+00    2.96939966e-04
   8.00000000e+00    2.97072617e-04
   9.00000000e+00    2.97198845e-04
   1.00000000e+01    2.97319132e-04
   1.10000000e+01    2.97433910e-04
   1.20000000e+01    2.97543567e-04
   1.30000000e+01    2.97648455e-04
   1.40000000e+01    2.97748891e-04
   1.50000000e+01    2.97845163e-04
   1.60000000e+01    2.97937536e-04
   1.70000000e+01    2.98026248e-04
   1.80000000e+01    2.98111520e-04
   1.90000000e+01    2.98193552e-04
   2.00000000e+01    2.98272530e-04
   2.10000000e+01    2.98348625e-04
   2.20000000e+01    2.98421995e-04
   2.30000000e+01    2.98492784e-04
   2.40000000e+01    2.98561129e-04
   2.50000000e+01    2.98627154e-04
   2.60000000e+01    2.98690975e-04
   2.70000000e+01    2.98752702e-04
   2.80000000e+01    2.98812435e-04
   2.90000000e+01    2.98870268e-04
   3.00000000e+01    2.98926290e-04
End of Xyce(TM) Simulation
