      V(2)             I(VOUT)     
   0.00000000e+00   -1.93995604e-27
   1.00000000e+00    2.78623645e-06
   2.00000000e+00    8.21306564e-05
   3.00000000e+00    9.02317574e-05
   4.00000000e+00    9.09652039e-05
   5.00000000e+00    9.16974646e-05
   6.00000000e+00    9.24285354e-05
   7.00000000e+00    9.31584124e-05
   8.00000000e+00    9.38870917e-05
   9.00000000e+00    9.46145695e-05
   1.00000000e+01    9.53408423e-05
   1.10000000e+01    9.60659065e-05
   1.20000000e+01    9.67897586e-05
   1.30000000e+01    9.75123954e-05
   1.40000000e+01    9.82338135e-05
   1.50000000e+01    9.89540098e-05
   1.60000000e+01    9.96729812e-05
   1.70000000e+01    1.00390725e-04
   1.80000000e+01    1.01107238e-04
   1.90000000e+01    1.01822517e-04
   2.00000000e+01    1.02536560e-04
   2.10000000e+01    1.03249363e-04
   2.20000000e+01    1.03960926e-04
   2.30000000e+01    1.04671244e-04
   2.40000000e+01    1.05380315e-04
   2.50000000e+01    1.06088137e-04
   2.60000000e+01    1.06794708e-04
   2.70000000e+01    1.07500025e-04
   2.80000000e+01    1.08204086e-04
   2.90000000e+01    1.08906888e-04
   3.00000000e+01    1.09608430e-04
End of Xyce(TM) Simulation
