      V(2)             I(VOUT)     
   0.00000000e+00    9.04683166e-26
   1.00000000e+00    1.92055004e-06
   2.00000000e+00    1.46125489e-04
   3.00000000e+00    1.61196639e-04
   4.00000000e+00    1.66098399e-04
   5.00000000e+00    1.71158533e-04
   6.00000000e+00    1.76349515e-04
   7.00000000e+00    1.81659001e-04
   8.00000000e+00    1.87079270e-04
   9.00000000e+00    1.92605476e-04
   1.00000000e+01    1.98234665e-04
   1.10000000e+01    2.03965255e-04
   1.20000000e+01    2.09796790e-04
   1.30000000e+01    2.15729854e-04
   1.40000000e+01    2.21766193e-04
   1.50000000e+01    2.27908913e-04
   1.60000000e+01    2.34163359e-04
   1.70000000e+01    2.40538743e-04
   1.80000000e+01    2.47052921e-04
   1.90000000e+01    2.53749967e-04
   2.00000000e+01    2.60832516e-04
   2.10000000e+01    2.85626242e-04
   2.20000000e+01    2.86166420e-04
   2.30000000e+01    2.86572566e-04
   2.40000000e+01    2.86921921e-04
   2.50000000e+01    2.87234546e-04
   2.60000000e+01    2.87521799e-04
   2.70000000e+01    2.87789272e-04
   2.80000000e+01    2.88040566e-04
   2.90000000e+01    2.88278166e-04
   3.00000000e+01    2.88503883e-04
End of Xyce(TM) Simulation
