      V(2)             I(VOUT)     
   0.00000000e+00   -1.51598366e-26
   1.00000000e+00    2.80252111e-06
   2.00000000e+00    2.75347508e-04
   3.00000000e+00    2.96836696e-04
   4.00000000e+00    2.96987599e-04
   5.00000000e+00    2.97130251e-04
   6.00000000e+00    2.97265446e-04
   7.00000000e+00    2.97393792e-04
   8.00000000e+00    2.97515826e-04
   9.00000000e+00    2.97632030e-04
   1.00000000e+01    2.97742832e-04
   1.10000000e+01    2.97848621e-04
   1.20000000e+01    2.97949743e-04
   1.30000000e+01    2.98046514e-04
   1.40000000e+01    2.98139219e-04
   1.50000000e+01    2.98228119e-04
   1.60000000e+01    2.98313451e-04
   1.70000000e+01    2.98395431e-04
   1.80000000e+01    2.98474258e-04
   1.90000000e+01    2.98550115e-04
   2.00000000e+01    2.98623170e-04
   2.10000000e+01    2.98693576e-04
   2.20000000e+01    2.98761478e-04
   2.30000000e+01    2.98827008e-04
   2.40000000e+01    2.98890289e-04
   2.50000000e+01    2.98951434e-04
   2.60000000e+01    2.99010550e-04
   2.70000000e+01    2.99067736e-04
   2.80000000e+01    2.99123083e-04
   2.90000000e+01    2.99176679e-04
   3.00000000e+01    2.99228604e-04
End of Xyce(TM) Simulation
