      V(2)             I(VOUT)     
   0.00000000e+00    5.37055580e-26
   1.00000000e+00    2.00852757e-06
   2.00000000e+00    1.15861478e-04
   3.00000000e+00    1.32931473e-04
   4.00000000e+00    1.34531371e-04
   5.00000000e+00    1.36116092e-04
   6.00000000e+00    1.37679654e-04
   7.00000000e+00    1.39187506e-04
   8.00000000e+00    1.40503363e-04
   9.00000000e+00    1.41774745e-04
   1.00000000e+01    1.43041317e-04
   1.10000000e+01    1.44303124e-04
   1.20000000e+01    1.45559372e-04
   1.30000000e+01    1.47266822e-04
   1.40000000e+01    1.49912310e-04
   1.50000000e+01    1.52904943e-04
   1.60000000e+01    1.56086451e-04
   1.70000000e+01    1.59408793e-04
   1.80000000e+01    1.62838943e-04
   1.90000000e+01    1.66362508e-04
   2.00000000e+01    1.69969986e-04
   2.10000000e+01    1.73654962e-04
   2.20000000e+01    1.77412959e-04
   2.30000000e+01    1.81240788e-04
   2.40000000e+01    1.85136161e-04
   2.50000000e+01    1.89097455e-04
   2.60000000e+01    1.93123558e-04
   2.70000000e+01    1.97213768e-04
   2.80000000e+01    2.01367735e-04
   2.90000000e+01    2.05585414e-04
   3.00000000e+01    2.09867056e-04
End of Xyce(TM) Simulation
