      V(2)             I(VOUT)     
   0.00000000e+00   -1.76481473e-25
   1.00000000e+00    1.93844531e-06
   2.00000000e+00    1.28546848e-04
   3.00000000e+00    1.46223917e-04
   4.00000000e+00    1.47750440e-04
   5.00000000e+00    1.50362536e-04
   6.00000000e+00    1.54058289e-04
   7.00000000e+00    1.58087974e-04
   8.00000000e+00    1.62310494e-04
   9.00000000e+00    1.66681657e-04
   1.00000000e+01    1.71172834e-04
   1.10000000e+01    1.75771074e-04
   1.20000000e+01    1.80468059e-04
   1.30000000e+01    1.85258339e-04
   1.40000000e+01    1.90138293e-04
   1.50000000e+01    1.95105563e-04
   1.60000000e+01    2.00158725e-04
   1.70000000e+01    2.05297108e-04
   1.80000000e+01    2.10520702e-04
   1.90000000e+01    2.15830136e-04
   2.00000000e+01    2.21226737e-04
   2.10000000e+01    2.26712697e-04
   2.20000000e+01    2.32291327e-04
   2.30000000e+01    2.37967850e-04
   2.40000000e+01    2.43750912e-04
   2.50000000e+01    2.49656882e-04
   2.60000000e+01    2.55725611e-04
   2.70000000e+01    2.62137438e-04
   2.80000000e+01    2.84451137e-04
   2.90000000e+01    2.84970469e-04
   3.00000000e+01    2.85361591e-04
End of Xyce(TM) Simulation
